m/z,Rel. Intens.
656.196,1.0
659.509,0.063
672.091,0.059
678.105,0.034
703.019,0.047
709.383,0.201
733.381,0.067
758.547,0.081
760.574,0.047
774.388,0.06
780.552,0.124
782.55,0.121
783.401,0.051
799.492,0.179
804.554,0.087
805.42,0.041
806.577,0.042
808.585,0.063
817.507,0.033
825.467,0.094
832.574,0.028
869.529,0.026
871.505,0.132
894.502,0.033
898.423,0.029
904.466,0.057
920.46,0.03
983.509,0.032
989.557,0.054
1008.567,0.042
1012.584,0.05
1020.5,0.029
1031.515,0.03
1034.529,0.029
1080.594,0.149
1112.669,0.033
1156.675,0.06
1178.664,0.053
1193.596,0.053
1194.608,0.04
1196.596,0.049
1199.662,0.085
1215.648,0.026
1218.582,0.025
1221.66,0.042
1226.545,0.101
1235.582,0.064
1249.607,0.027
1260.495,0.043
1283.626,0.055
1284.817,0.04
1286.608,0.018
1301.648,0.177
1306.759,0.042
1366.765,0.098
1439.78,0.081
1441.699,0.023
1488.689,0.115
1567.734,0.076
1590.79,0.024
1716.886,0.54
1721.431,0.021
1723.958,0.021
1738.878,0.03
1858.915,0.024
1882.943,0.102
1906.903,0.023
1928.886,0.025
1963.93,0.027
2012.022,0.061
2016.09,0.114
2037.102,0.026
2076.04,0.032
2081.05,0.039
2147.058,0.041
2155.133,0.045
2178.05,0.025
2185.104,0.028
2248.128,0.032
2279.169,0.06
2296.165,0.096
2319.125,0.023
2350.167,0.126
2372.135,0.198
2407.244,0.125
2451.27,0.024
2513.359,0.014
2535.338,0.044
2612.247,0.019
2966.505,0.0080
