m/z,Rel. Intens.
656.137,0.163
673.316,0.046
709.339,0.056
733.331,0.022
740.251,0.0070
758.525,0.038
774.333,0.046
782.527,0.026
783.366,0.034
786.566,0.011
799.439,0.074
804.498,0.01
805.387,0.01
806.527,0.0090
808.537,0.013
810.572,0.0090
812.404,0.011
817.432,0.022
825.413,0.056
831.37,0.011
836.346,0.016
869.461,0.022
871.445,0.064
873.389,0.017
894.436,0.021
898.372,0.041
904.409,0.026
912.427,0.0070
920.386,0.012
972.433,0.018
976.438,0.0060
983.458,0.027
989.5,0.054
1008.503,0.032
1012.523,0.065
1020.44,0.019
1031.458,0.034
1034.464,0.022
1080.527,0.09
1104.496,0.0090
1112.61,0.03
1114.454,0.011
1152.538,0.019
1156.613,0.13
1157.552,0.036
1160.518,0.0090
1178.597,0.022
1194.523,0.044
1196.512,0.115
1199.579,0.24
1215.556,0.012
1218.507,0.016
1221.566,0.031
1226.469,0.082
1230.602,0.018
1235.509,0.029
1252.556,0.0070
1257.585,0.0060
1260.405,0.046
1263.564,0.0090
1283.494,0.046
1284.702,0.152
1286.508,0.054
1301.568,0.123
1306.679,0.025
1308.507,0.0050
1323.551,0.0050
1352.564,0.0080
1366.675,0.064
1372.587,0.0070
1380.615,0.014
1386.613,0.023
1400.567,0.0090
1411.577,0.011
1418.475,0.0070
1440.602,0.019
1444.628,0.0070
1453.598,0.0090
1465.562,0.014
1488.595,0.078
1494.76,0.0080
1545.528,0.0080
1550.617,0.0090
1561.616,0.0080
1590.684,0.018
1612.678,0.015
1657.632,0.014
1660.647,0.012
1670.68,0.0080
1694.676,0.0080
1697.712,0.016
1716.743,1.0
1720.218,0.029
1723.811,0.011
1738.709,0.033
1773.735,0.011
1815.719,0.0080
1858.714,0.024
1882.785,0.089
1906.718,0.046
1928.711,0.01
1963.767,0.021
1994.896,0.0070
2011.842,0.047
2015.92,0.119
2032.861,0.0080
2036.921,0.016
2070.822,0.0070
2075.848,0.042
2080.873,0.028
2097.831,0.0060
2136.881,0.014
2146.876,0.026
2154.913,0.044
2177.877,0.0090
2184.908,0.012
2192.84,0.0090
2201.934,0.011
2247.936,0.013
2278.953,0.026
2295.949,0.057
2318.957,0.0080
2334.08,0.011
2335.105,0.0090
2343.936,0.0090
2349.956,0.186
2371.92,0.083
2380.001,0.0070
2385.077,0.014
2407.017,0.055
2451.044,0.019
2484.936,0.0040
2513.132,0.018
2535.107,0.015
2548.091,0.0050
2645.2,0.0040
2888.181,0.0030
2918.224,0.0040
2959.388,0.0020
2966.203,0.015
2988.166,0.0020
3154.242,0.0030
3211.27,0.0020
