m/z,Rel. Intens.
656.12,0.777
672.022,0.035
673.29,0.067
678.051,0.027
709.313,0.243
711.317,0.043
731.291,0.027
733.305,0.059
758.483,0.071
774.316,0.082
780.477,0.068
781.362,0.054
782.474,0.056
783.327,0.058
784.51,0.026
799.42,0.33
805.358,0.037
806.49,0.026
810.52,0.023
817.413,0.046
821.414,0.027
824.289,0.022
825.382,0.118
869.437,0.04
871.421,0.142
873.361,0.026
894.425,0.034
898.333,0.023
900.351,0.021
904.386,0.065
920.361,0.028
922.335,0.02
972.411,0.017
983.429,0.057
989.463,0.049
1008.473,0.057
1012.483,0.061
1020.4,0.017
1031.432,0.035
1035.424,0.029
1064.393,0.016
1075.435,0.016
1080.497,0.219
1111.411,0.017
1112.573,0.042
1114.416,0.017
1152.511,0.031
1156.57,0.132
1178.563,0.053
1192.447,0.047
1194.5,0.046
1196.479,0.07
1199.543,0.142
1215.533,0.027
1218.462,0.031
1221.531,0.06
1226.429,0.102
1230.571,0.016
1235.462,0.062
1260.371,0.042
1263.53,0.016
1283.453,0.068
1284.665,0.176
1301.53,0.222
1306.654,0.101
1323.518,0.014
1352.53,0.014
1363.531,0.016
1366.628,0.139
1380.561,0.015
1386.561,0.017
1401.547,0.013
1433.569,0.016
1440.573,0.037
1444.584,0.017
1453.549,0.016
1465.545,0.015
1488.552,0.099
1494.71,0.018
1550.566,0.013
1590.632,0.024
1612.631,0.017
1697.662,0.014
1716.697,1.0
1723.794,0.027
1738.656,0.056
1773.692,0.016
1858.667,0.042
1882.736,0.12
1906.667,0.041
1912.765,0.015
1928.65,0.024
1963.734,0.026
2011.801,0.08
2015.871,0.175
2032.822,0.023
2036.87,0.028
2075.804,0.057
2080.828,0.046
2097.777,0.018
2136.807,0.018
2146.832,0.041
2154.868,0.057
2177.823,0.026
2184.854,0.027
2202.881,0.017
2247.886,0.035
2278.907,0.073
2293.907,0.027
2295.911,0.106
2317.884,0.022
2334.059,0.014
2343.886,0.014
2349.896,0.266
2355.973,0.01
2371.871,0.274
2379.945,0.01
2385.013,0.018
2406.973,0.173
2450.985,0.03
2484.883,0.0080
2513.086,0.026
2535.051,0.048
2548.013,0.0070
2645.153,0.0070
2918.163,0.0070
2966.151,0.019
2988.105,0.0050
3153.202,0.0040
