m/z,Rel. Intens.
656.138,0.711
672.044,0.052
673.31,0.044
709.334,0.168
733.324,0.035
758.518,0.07
774.325,0.083
780.499,0.099
781.358,0.059
782.493,0.084
783.331,0.061
784.541,0.038
799.437,0.312
804.498,0.048
805.355,0.044
806.518,0.028
808.533,0.039
812.401,0.024
817.424,0.056
821.419,0.042
825.404,0.106
832.541,0.022
869.457,0.047
871.439,0.113
894.432,0.055
904.403,0.063
912.439,0.019
920.384,0.033
983.444,0.077
989.485,0.06
1008.5,0.069
1012.502,0.068
1031.449,0.032
1034.46,0.035
1080.525,0.175
1102.496,0.021
1112.601,0.037
1152.526,0.027
1156.597,0.1
1157.527,0.042
1160.519,0.021
1178.596,0.104
1192.486,0.027
1194.501,0.039
1196.511,0.049
1199.568,0.118
1215.561,0.021
1218.504,0.043
1221.56,0.114
1226.451,0.08
1235.488,0.07
1252.606,0.029
1260.409,0.064
1283.484,0.047
1284.693,0.155
1301.563,0.187
1306.685,0.205
1323.565,0.017
1363.571,0.015
1366.668,0.101
1380.598,0.015
1440.615,0.035
1444.641,0.016
1488.587,0.089
1590.676,0.019
1612.685,0.018
1716.742,1.0
1719.12,0.048
1723.827,0.019
1738.71,0.081
1773.748,0.016
1858.746,0.023
1882.792,0.093
1884.747,0.032
1906.735,0.022
1928.72,0.028
1963.791,0.024
2011.851,0.055
2015.93,0.14
2032.871,0.017
2036.936,0.027
2075.862,0.026
2080.89,0.033
2097.863,0.018
2146.878,0.029
2154.937,0.048
2176.905,0.028
2184.921,0.039
2247.976,0.027
2278.986,0.08
2293.978,0.028
2295.981,0.084
2317.978,0.022
2349.978,0.133
2371.956,0.307
2393.944,0.012
2407.072,0.184
2451.082,0.016
2513.198,0.0090
2535.146,0.058
2918.253,0.0070
2966.242,0.0090
2988.18,0.0080
