m/z,Rel. Intens.
656.226,0.317
659.514,0.114
673.399,0.124
687.412,0.041
691.43,0.037
704.387,0.074
709.396,0.097
733.392,0.04
774.402,0.578
781.451,0.271
783.412,0.102
799.504,0.478
802.357,0.045
805.428,0.074
812.466,0.06
813.44,0.034
817.503,0.049
821.483,0.032
824.381,0.072
825.464,0.123
831.437,0.069
836.424,0.054
869.535,0.257
871.51,0.135
873.462,0.192
894.507,0.093
898.438,0.102
912.509,0.072
920.435,0.036
972.503,0.041
975.519,0.044
976.523,0.087
983.524,0.253
989.564,0.155
1008.578,0.148
1012.595,0.423
1031.533,0.292
1034.533,0.085
1052.532,0.028
1080.613,0.97
1104.578,0.109
1112.635,0.033
1152.624,0.093
1156.698,0.174
1157.66,0.212
1160.601,0.117
1167.645,0.032
1174.622,0.027
1178.696,0.056
1192.548,0.038
1194.624,0.066
1196.616,0.217
1199.665,0.328
1215.674,0.12
1218.597,0.077
1221.653,0.108
1226.574,0.449
1230.698,0.07
1235.608,0.255
1237.651,0.041
1252.68,0.064
1258.674,0.045
1260.513,0.088
1283.634,0.28
1285.827,0.06
1286.673,0.093
1301.686,0.586
1303.708,0.09
1306.747,0.072
1308.603,0.03
1311.718,0.041
1323.659,0.031
1352.688,0.065
1363.699,0.04
1366.776,0.191
1380.717,0.036
1386.724,0.073
1400.692,0.032
1408.769,0.047
1411.718,0.052
1439.834,0.061
1440.762,0.063
1443.783,0.038
1488.738,0.236
1660.78,0.063
1716.92,1.0
1738.868,0.032
1752.997,0.028
1858.912,0.034
1881.94,0.037
1883.96,0.093
1906.91,0.04
1927.954,0.041
1963.967,0.028
2012.04,0.053
2016.137,0.291
2033.069,0.078
2037.119,0.039
2076.052,0.029
2081.094,0.227
2138.125,0.022
2155.117,0.042
2185.183,0.028
2202.159,0.047
2279.151,0.037
2294.113,0.022
2296.172,0.043
2335.184,0.019
2350.195,0.145
2372.142,0.147
2380.326,0.021
2385.368,0.018
2407.267,0.096
2451.294,0.049
2502.369,0.013
2513.389,0.019
2535.341,0.039
2601.453,0.014
2618.348,0.011
2645.506,0.014
2966.519,0.0080
