m/z,Rel. Intens.
656.208,0.445
659.499,0.035
672.095,0.03
673.383,0.074
687.411,0.018
704.378,0.037
709.386,0.078
733.383,0.023
740.312,0.016
774.405,0.381
781.446,0.125
783.423,0.099
799.505,0.231
802.357,0.033
805.42,0.025
812.472,0.024
813.452,0.038
817.509,0.03
824.384,0.024
825.472,0.082
831.444,0.058
836.419,0.025
867.094,0.016
869.535,0.146
871.51,0.106
873.454,0.1
894.518,0.028
898.449,0.133
912.515,0.035
920.452,0.022
972.511,0.043
975.534,0.022
976.53,0.048
983.537,0.148
989.573,0.137
1008.581,0.114
1012.6,0.373
1020.508,0.023
1031.538,0.196
1034.55,0.056
1058.549,0.019
1069.622,0.021
1075.55,0.021
1080.615,0.829
1102.584,0.029
1104.585,0.092
1111.556,0.024
1112.697,0.042
1137.631,0.018
1152.633,0.092
1156.701,0.195
1157.637,0.108
1160.611,0.114
1167.657,0.018
1192.575,0.027
1194.615,0.059
1196.616,0.325
1199.677,0.526
1215.664,0.098
1218.608,0.036
1221.66,0.047
1226.57,0.514
1230.719,0.087
1235.61,0.196
1252.665,0.044
1257.687,0.03
1260.507,0.056
1283.602,0.226
1284.812,0.112
1285.598,0.086
1286.621,0.108
1301.68,0.623
1308.613,0.017
1311.725,0.041
1319.676,0.023
1323.661,0.017
1340.63,0.018
1352.682,0.067
1358.69,0.021
1363.698,0.045
1366.789,0.183
1380.734,0.052
1386.738,0.098
1394.642,0.014
1400.692,0.042
1408.772,0.03
1411.705,0.043
1413.686,0.015
1422.692,0.013
1433.72,0.015
1439.74,0.077
1441.695,0.047
1443.78,0.051
1453.73,0.033
1488.729,0.358
1509.763,0.014
1514.824,0.017
1561.748,0.021
1579.877,0.017
1590.823,0.028
1612.82,0.046
1657.801,0.021
1660.8,0.13
1682.78,0.017
1716.899,1.0
1720.399,0.027
1723.02,0.028
1724.99,0.022
1738.862,0.019
1742.848,0.022
1752.979,0.042
1773.908,0.014
1805.961,0.013
1815.882,0.025
1858.904,0.035
1881.968,0.041
1883.971,0.136
1898.111,0.021
1906.908,0.073
1927.97,0.041
1932.984,0.04
1963.978,0.028
2012.04,0.068
2016.123,0.33
2033.077,0.099
2037.136,0.043
2076.068,0.067
2081.085,0.333
2098.018,0.013
2138.09,0.023
2147.07,0.021
2155.128,0.064
2185.138,0.016
2202.168,0.071
2279.137,0.03
2296.181,0.038
2334.305,0.024
2350.202,0.344
2372.127,0.159
2381.265,0.012
2385.352,0.017
2407.231,0.098
2429.182,0.013
2451.274,0.078
2485.195,0.019
2502.257,0.012
2513.405,0.04
2535.308,0.038
2547.723,0.0070
2579.412,0.017
2602.359,0.013
2618.336,0.017
2645.435,0.016
2959.597,0.0080
2966.444,0.018
3153.47,0.0050
