m/z,Rel. Intens.
656.173,0.329
659.468,0.052
673.351,0.089
687.377,0.028
704.34,0.041
709.369,0.069
733.355,0.025
774.37,0.382
781.42,0.129
783.375,0.061
799.472,0.293
802.312,0.03
805.419,0.029
812.434,0.038
813.43,0.036
817.47,0.037
824.343,0.03
825.428,0.098
831.401,0.044
836.378,0.05
847.4,0.025
869.489,0.144
871.463,0.106
872.927,0.03
873.406,0.113
894.461,0.048
898.394,0.09
912.484,0.042
920.405,0.023
972.454,0.031
975.461,0.028
976.481,0.064
983.48,0.16
989.524,0.167
1008.529,0.104
1012.548,0.312
1031.489,0.249
1034.491,0.071
1035.493,0.033
1069.556,0.022
1075.483,0.022
1080.566,0.722
1082.511,0.051
1102.538,0.038
1104.53,0.093
1112.625,0.034
1152.577,0.071
1156.639,0.159
1157.588,0.092
1160.549,0.083
1178.622,0.053
1192.549,0.027
1194.566,0.057
1196.569,0.253
1199.616,0.254
1202.517,0.027
1215.62,0.155
1218.562,0.07
1221.599,0.055
1226.521,0.384
1230.654,0.062
1235.568,0.185
1237.598,0.026
1252.628,0.053
1258.623,0.031
1260.461,0.072
1283.572,0.247
1285.791,0.058
1286.625,0.066
1287.573,0.072
1301.631,0.493
1303.66,0.07
1306.697,0.046
1311.665,0.035
1352.639,0.058
1358.644,0.022
1363.638,0.045
1366.736,0.163
1380.687,0.037
1386.684,0.102
1400.649,0.037
1408.694,0.041
1411.652,0.059
1439.753,0.079
1441.668,0.032
1443.748,0.039
1488.678,0.249
1590.772,0.026
1612.763,0.033
1634.776,0.022
1657.743,0.029
1660.737,0.064
1716.863,1.0
1721.398,0.039
1723.927,0.041
1738.834,0.029
1752.921,0.027
1858.868,0.032
1881.916,0.032
1883.923,0.088
1906.842,0.045
1927.919,0.044
1932.924,0.025
1963.957,0.024
2012.009,0.045
2016.081,0.288
2033.029,0.064
2037.089,0.041
2074.046,0.019
2076.035,0.034
2081.05,0.215
2138.039,0.02
2155.12,0.038
2202.12,0.039
2279.122,0.023
2296.158,0.035
2334.353,0.022
2350.175,0.148
2372.121,0.111
2407.232,0.072
2427.108,0.015
2451.274,0.052
2485.219,0.014
2513.372,0.021
2535.319,0.033
2579.391,0.012
2601.484,0.01
2618.332,0.01
2645.458,0.014
2746.394,0.0080
2959.679,0.0060
2966.514,0.011
