m/z,Rel. Intens.
656.141,0.635
672.044,0.029
673.317,0.098
678.058,0.02
702.985,0.023
704.321,0.033
709.338,0.085
733.33,0.019
774.339,0.506
781.384,0.195
783.359,0.051
799.442,0.421
805.372,0.036
812.406,0.049
813.385,0.026
817.429,0.053
821.416,0.038
824.306,0.041
825.4,0.066
831.382,0.047
836.35,0.028
869.464,0.195
871.44,0.105
873.393,0.142
894.449,0.08
898.365,0.092
912.437,0.05
920.379,0.022
972.434,0.025
975.447,0.021
976.455,0.063
983.453,0.217
989.485,0.101
1008.506,0.135
1012.515,0.344
1031.456,0.179
1034.468,0.08
1052.454,0.02
1075.463,0.024
1080.535,0.854
1102.508,0.058
1104.501,0.084
1112.607,0.025
1114.457,0.025
1152.555,0.068
1156.611,0.194
1157.547,0.199
1160.518,0.08
1167.568,0.027
1174.533,0.023
1178.608,0.119
1190.467,0.018
1192.491,0.031
1194.531,0.042
1196.537,0.165
1199.591,0.301
1215.575,0.103
1218.501,0.077
1221.576,0.131
1226.48,0.365
1230.634,0.049
1235.514,0.201
1252.609,0.048
1258.592,0.036
1260.42,0.061
1261.412,0.037
1283.509,0.156
1284.726,0.156
1286.537,0.089
1301.586,0.557
1306.702,0.108
1308.535,0.027
1311.626,0.029
1319.594,0.016
1323.577,0.026
1340.538,0.016
1352.591,0.06
1358.592,0.021
1363.595,0.045
1366.69,0.183
1380.635,0.039
1386.634,0.069
1400.591,0.029
1408.652,0.037
1411.598,0.041
1422.598,0.015
1439.695,0.078
1441.637,0.033
1443.681,0.035
1453.631,0.019
1488.626,0.23
1514.736,0.015
1561.647,0.015
1585.786,0.02
1590.71,0.026
1612.71,0.03
1634.719,0.014
1650.774,0.014
1657.699,0.015
1660.677,0.056
1682.669,0.021
1716.787,1.0
1719.137,0.06
1723.879,0.033
1738.755,0.051
1742.742,0.017
1752.857,0.027
1773.799,0.017
1815.785,0.019
1858.791,0.032
1882.832,0.1
1884.839,0.032
1898.003,0.015
1906.78,0.04
1927.85,0.04
1932.864,0.018
1963.86,0.017
2011.903,0.044
2015.998,0.316
2032.945,0.091
2036.991,0.053
2075.934,0.03
2080.959,0.258
2084.985,0.025
2137.956,0.019
2146.951,0.015
2155.012,0.051
2176.969,0.014
2185.03,0.02
2202.036,0.05
2248.038,0.013
2279.054,0.036
2294.042,0.016
2296.056,0.039
2334.187,0.018
2350.076,0.173
2356.054,0.013
2372.025,0.189
2381.162,0.015
2385.279,0.013
2394.013,0.013
2407.132,0.126
2428.064,0.013
2451.159,0.054
2485.103,0.014
2502.144,0.0090
2513.295,0.02
2535.212,0.048
2579.308,0.014
2601.239,0.014
2618.224,0.0090
2645.34,0.011
2959.541,0.0040
2966.418,0.0080
