m/z,Rel. Intens.
605.297,0.02
635.396,0.016
640.438,0.021
667.389,0.014
683.391,0.011
709.405,0.037
725.394,0.01
733.402,0.019
745.362,0.015
749.389,0.01
825.49,0.021
904.49,0.017
976.533,0.01
989.566,0.022
1012.589,0.012
1013.598,0.0090
1015.638,0.0080
1031.55,0.014
1047.521,0.0080
1080.619,0.181
1104.588,0.024
1160.605,0.158
1215.668,0.031
1216.667,0.026
1226.572,0.803
1235.637,0.041
1244.929,0.259
1252.635,0.016
1274.745,0.204
1281.562,0.011
1283.587,0.045
1286.612,0.015
1299.593,0.606
1301.685,0.339
1306.672,0.01
1311.731,0.023
1318.666,0.03
1352.68,0.035
1366.791,0.211
1372.874,0.051
1380.732,0.026
1386.732,0.012
1400.68,0.019
1403.738,0.015
1427.688,0.127
1439.818,0.024
1449.846,0.031
1453.747,0.254
1467.822,0.034
1494.874,0.013
1504.705,0.089
1529.771,0.016
1550.743,0.065
1585.875,0.01
1590.804,0.024
1592.195,0.029
1612.813,0.089
1641.896,0.41
1645.838,0.032
1650.891,0.083
1670.814,0.017
1672.366,0.012
1687.668,0.033
1708.201,0.114
1710.155,0.087
1716.892,0.188
1723.995,1.0
1726.356,0.052
1742.849,0.01
1752.987,0.166
1815.894,0.322
1855.979,0.036
1876.015,0.025
1878.056,0.042
1882.958,0.092
1898.088,0.021
1913.006,0.027
1927.983,0.047
1938.895,0.01
1963.957,0.015
2016.114,0.364
2030.039,0.015
2037.114,0.077
2042.951,0.0090
2045.098,0.0090
2065.102,0.011
2069.199,0.011
2081.084,0.461
2084.081,0.094
2090.128,0.084
2097.073,0.013
2148.103,0.038
2178.008,0.023
2185.096,0.0090
2190.165,0.024
2202.152,0.027
2258.295,0.0070
2296.231,0.025
2350.155,0.0090
2381.284,0.016
2385.292,0.015
2427.408,0.0080
2451.291,0.167
2485.192,0.026
2513.37,0.021
2579.389,0.0080
2612.305,0.0060
2618.376,0.057
2645.503,0.061
2872.613,0.0060
2887.581,0.013
2889.572,0.0080
2926.874,0.023
2959.76,0.011
2966.65,0.0050
2982.586,0.071
3032.714,0.024
3140.722,0.0070
3153.747,0.0060
3182.015,0.015
3237.87,0.017
3259.974,0.01
3292.854,0.011
3451.182,0.0040
