m/z,Rel. Intens.
600.444,0.031
605.273,0.087
635.363,0.048
640.414,0.077
667.384,0.036
683.375,0.03
709.402,0.094
733.409,0.038
745.369,0.037
749.381,0.022
825.494,0.031
904.49,0.02
976.537,0.026
989.577,0.053
1012.612,0.03
1026.413,0.018
1031.545,0.035
1080.616,0.138
1104.591,0.045
1111.58,0.017
1129.667,0.02
1160.617,0.334
1215.672,0.056
1216.657,0.055
1226.583,1.0
1230.694,0.025
1235.639,0.07
1244.901,0.564
1252.634,0.02
1274.758,0.333
1283.612,0.052
1286.607,0.027
1299.613,0.718
1301.69,0.452
1311.728,0.027
1318.676,0.018
1352.683,0.041
1366.797,0.176
1372.86,0.112
1380.75,0.024
1400.7,0.019
1427.706,0.105
1439.825,0.021
1440.761,0.029
1449.831,0.149
1453.757,0.256
1467.825,0.028
1497.805,0.019
1504.716,0.15
1550.755,0.089
1590.797,0.027
1592.048,0.042
1612.831,0.086
1641.914,0.69
1645.817,0.042
1650.898,0.063
1671.173,0.016
1687.631,0.037
1706.967,0.074
1709.137,0.181
1716.905,0.133
1724.011,0.708
1753.002,0.231
1815.911,0.275
1856.01,0.034
1875.018,0.022
1877.061,0.037
1882.989,0.096
1883.911,0.086
1898.098,0.039
1913.078,0.036
1927.999,0.064
1963.979,0.028
2016.135,0.404
2030.044,0.024
2037.144,0.092
2068.456,0.018
2081.107,0.409
2084.099,0.151
2090.145,0.093
2146.143,0.016
2148.104,0.06
2178.033,0.042
2190.197,0.031
2202.195,0.039
2296.25,0.036
2381.842,0.017
2427.373,0.015
2451.316,0.21
2485.207,0.045
2513.376,0.022
2618.346,0.096
2645.568,0.1
2872.557,0.015
2887.799,0.028
2926.648,0.039
2959.867,0.02
2982.609,0.098
3032.757,0.04
3153.682,0.01
3181.955,0.045
3237.76,0.041
3259.86,0.023
3292.83,0.02
3451.344,0.01
