m/z,Rel. Intens.
600.424,0.016
605.265,0.069
635.361,0.016
640.412,0.044
667.373,0.028
683.356,0.022
709.383,0.07
725.373,0.017
731.356,0.013
733.376,0.028
745.348,0.04
747.358,0.015
749.365,0.017
825.443,0.028
904.443,0.019
976.502,0.02
989.53,0.042
1012.556,0.025
1015.596,0.026
1020.483,0.014
1026.317,0.014
1031.5,0.027
1047.475,0.012
1080.564,0.135
1104.545,0.04
1111.525,0.02
1129.607,0.013
1160.571,0.373
1174.037,0.013
1215.621,0.058
1216.566,0.034
1226.53,1.0
1230.641,0.028
1235.592,0.058
1236.533,0.025
1244.869,0.462
1252.585,0.02
1274.705,0.381
1283.548,0.061
1286.556,0.02
1299.56,0.769
1301.639,0.384
1311.671,0.024
1318.618,0.016
1352.629,0.041
1366.739,0.181
1372.803,0.083
1380.672,0.024
1386.671,0.018
1400.642,0.017
1403.682,0.015
1427.641,0.12
1439.757,0.023
1449.802,0.122
1453.698,0.283
1467.773,0.029
1497.756,0.017
1504.668,0.177
1550.7,0.096
1552.658,0.023
1590.751,0.023
1591.823,0.035
1612.775,0.089
1641.859,0.708
1645.785,0.049
1650.839,0.068
1687.585,0.033
1706.901,0.07
1709.081,0.157
1716.842,0.133
1723.957,0.672
1752.949,0.253
1815.852,0.271
1855.945,0.051
1875.976,0.049
1877.977,0.032
1882.932,0.12
1883.865,0.091
1898.058,0.042
1912.977,0.032
1927.943,0.066
1963.921,0.03
2016.085,0.427
2037.091,0.103
2069.085,0.018
2081.062,0.454
2084.057,0.143
2090.091,0.064
2146.078,0.023
2148.048,0.064
2177.989,0.044
2190.159,0.034
2202.142,0.047
2296.219,0.036
2350.129,0.017
2381.366,0.021
2385.362,0.014
2427.262,0.018
2451.278,0.237
2485.175,0.051
2513.381,0.015
2607.166,0.013
2612.346,0.016
2618.349,0.094
2645.505,0.085
2646.466,0.047
2872.56,0.018
2886.937,0.012
2888.541,0.028
2926.831,0.04
2959.784,0.022
2982.617,0.081
3031.826,0.033
3033.675,0.028
3140.634,0.012
3153.873,0.014
3182.021,0.047
3237.879,0.039
3260.09,0.019
3291.852,0.014
3293.95,0.013
3451.335,0.011
