m/z,Rel. Intens.
600.42,0.039
605.264,0.175
622.291,0.036
640.397,0.035
667.391,0.076
683.363,0.029
709.398,0.185
711.425,0.035
725.39,0.068
733.386,0.06
745.361,0.04
749.373,0.053
825.468,0.089
904.462,0.03
976.518,0.024
989.549,0.026
1015.629,0.021
1020.513,0.06
1080.569,0.087
1111.564,0.029
1160.588,0.057
1168.545,0.099
1215.641,0.076
1226.535,0.391
1235.62,0.059
1244.861,0.584
1252.597,0.038
1274.721,0.545
1283.579,0.033
1286.573,0.04
1299.558,1.0
1301.636,0.222
1314.667,0.024
1352.644,0.087
1366.745,0.418
1372.824,0.104
1380.682,0.117
1427.634,0.209
1433.691,0.03
1453.695,0.182
1467.778,0.043
1490.709,0.092
1494.827,0.028
1529.712,0.139
1552.695,0.024
1590.931,0.042
1612.743,0.057
1641.835,0.094
1650.836,0.051
1687.59,0.027
1706.903,0.037
1709.09,0.122
1716.838,0.643
1723.93,0.728
1752.933,0.099
1815.824,0.14
1833.861,0.066
1882.915,0.348
1883.859,0.285
1898.991,0.037
1913.37,0.026
1927.923,0.071
1938.826,0.055
1963.901,0.082
1994.996,0.065
2016.05,0.648
2037.063,0.123
2081.011,0.544
2084.056,0.14
2147.052,0.166
2148.969,0.067
2190.103,0.067
2228.152,0.09
2258.274,0.089
2385.252,0.056
2446.287,0.057
2451.222,0.464
2485.141,0.029
2513.304,0.042
2550.246,0.052
2606.878,0.023
2612.208,0.057
2618.292,0.034
2645.407,0.213
2873.17,0.023
2888.39,0.046
2926.515,0.084
2959.666,0.031
2967.342,0.028
2982.362,0.19
3032.543,0.039
3139.494,0.03
3153.634,0.063
3155.447,0.031
3212.51,0.024
3235.732,0.067
3237.772,0.071
3259.886,0.026
3292.704,0.143
