m/z,Rel. Intens.
605.259,0.058
635.381,0.025
667.357,0.024
709.37,0.087
725.38,0.028
733.367,0.026
745.342,0.032
749.363,0.033
825.459,0.106
904.445,0.038
976.512,0.028
989.538,0.028
1020.477,0.033
1080.572,0.137
1104.546,0.018
1111.535,0.022
1156.657,0.027
1160.566,0.052
1168.526,0.143
1199.609,0.022
1215.626,0.082
1226.519,0.466
1230.636,0.027
1235.613,0.064
1236.569,0.038
1244.788,0.519
1252.576,0.04
1274.698,0.498
1282.529,0.028
1283.583,0.028
1286.552,0.039
1299.533,1.0
1301.627,0.271
1303.606,0.05
1311.685,0.022
1314.648,0.026
1318.631,0.024
1320.574,0.031
1352.64,0.098
1366.736,0.564
1372.785,0.112
1380.675,0.131
1400.628,0.022
1427.618,0.215
1439.766,0.018
1453.689,0.219
1467.781,0.056
1490.696,0.097
1494.83,0.034
1529.713,0.193
1590.749,0.039
1591.855,0.048
1612.732,0.068
1641.822,0.074
1650.836,0.058
1687.554,0.036
1706.928,0.04
1709.084,0.158
1716.842,0.659
1719.264,0.044
1723.93,0.891
1752.928,0.068
1815.836,0.149
1833.857,0.071
1878.012,0.034
1882.913,0.225
1883.855,0.179
1898.984,0.02
1913.058,0.018
1927.926,0.048
1931.997,0.023
1938.831,0.056
1963.91,0.053
1995.008,0.045
2016.048,0.536
2017.98,0.193
2029.988,0.023
2037.062,0.073
2070.06,0.027
2076.0,0.036
2081.016,0.455
2084.03,0.104
2147.05,0.117
2148.977,0.045
2190.111,0.045
2192.981,0.027
2228.156,0.053
2258.256,0.07
2381.228,0.015
2385.246,0.041
2427.49,0.011
2446.266,0.034
2451.231,0.296
2485.17,0.017
2513.319,0.032
2550.259,0.038
2606.592,0.013
2612.218,0.041
2618.3,0.02
2645.411,0.137
2661.292,0.014
2872.367,0.012
2888.396,0.024
2926.625,0.072
2959.62,0.016
2967.529,0.017
2982.453,0.162
3032.566,0.025
3139.586,0.026
3153.533,0.037
3154.534,0.027
3211.566,0.011
3236.785,0.061
3259.884,0.014
3292.656,0.093
