m/z,Rel. Intens.
600.429,0.024
605.235,0.241
607.324,0.033
616.381,0.026
618.404,0.039
620.419,0.035
635.357,0.028
640.383,0.029
667.37,0.08
683.361,0.029
685.371,0.03
691.36,0.025
707.354,0.035
709.373,0.189
711.399,0.036
725.364,0.055
733.371,0.066
745.342,0.051
749.363,0.053
758.542,0.108
760.56,0.026
782.534,0.058
784.554,0.031
786.565,0.026
825.47,0.087
904.459,0.036
976.518,0.016
989.556,0.027
991.607,0.04
1015.604,0.078
1020.5,0.027
1041.617,0.016
1080.584,0.103
1104.549,0.017
1111.536,0.02
1156.681,0.027
1160.576,0.053
1168.545,0.095
1199.646,0.018
1215.636,0.055
1226.538,0.36
1235.613,0.04
1244.839,0.479
1252.591,0.03
1274.703,0.48
1283.631,0.022
1286.574,0.024
1299.554,1.0
1301.651,0.174
1314.649,0.017
1319.633,0.029
1352.652,0.065
1366.756,0.502
1372.814,0.084
1380.699,0.086
1427.64,0.188
1453.693,0.174
1467.795,0.051
1490.708,0.068
1494.85,0.034
1529.721,0.128
1590.76,0.032
1591.921,0.04
1612.749,0.037
1641.826,0.06
1650.843,0.046
1687.597,0.029
1706.994,0.039
1709.083,0.138
1716.85,0.563
1723.943,0.877
1752.915,0.076
1815.832,0.116
1833.851,0.052
1878.006,0.026
1882.903,0.239
1898.965,0.022
1913.27,0.017
1927.919,0.039
1938.851,0.043
1963.888,0.047
1994.992,0.04
2016.046,0.533
2037.048,0.071
2081.008,0.445
2084.0,0.117
2147.032,0.117
2185.073,0.019
2190.089,0.05
2192.994,0.019
2228.132,0.056
2258.252,0.049
2295.157,0.024
2385.233,0.044
2446.274,0.036
2451.205,0.322
2513.29,0.035
2550.237,0.035
2607.026,0.016
2612.188,0.039
2618.248,0.021
2645.381,0.14
2661.281,0.013
2873.423,0.014
2888.367,0.028
2926.638,0.056
2959.634,0.021
2967.516,0.016
2982.438,0.134
3032.529,0.023
3139.577,0.02
3153.535,0.039
3211.567,0.012
3235.71,0.032
3237.756,0.036
3259.693,0.0090
3292.67,0.094
