m/z,Rel. Intens.
656.165,0.29
659.447,0.17
672.407,0.028
673.334,0.099
681.345,0.023
687.356,0.044
695.286,0.052
704.325,0.045
709.334,0.063
714.383,0.047
756.34,0.021
774.339,0.044
781.38,0.143
783.35,0.04
799.432,0.151
802.341,0.035
805.363,0.129
817.402,0.042
821.426,0.021
825.391,0.058
830.363,0.027
831.364,0.069
853.363,0.056
869.457,0.15
871.436,0.082
873.384,0.299
894.429,0.049
896.387,0.033
918.405,0.029
930.42,0.039
972.406,0.023
976.436,0.034
983.441,0.436
989.476,0.023
994.418,0.026
1005.408,0.035
1008.492,0.097
1012.509,0.642
1031.446,0.263
1033.469,0.102
1034.468,0.146
1047.434,0.029
1053.43,0.029
1056.445,0.033
1074.447,0.04
1080.517,0.077
1090.489,0.033
1103.489,0.035
1104.483,0.069
1114.503,0.027
1152.538,0.095
1156.587,0.291
1157.529,0.181
1158.531,0.103
1167.566,0.092
1174.534,0.135
1178.595,0.348
1194.547,0.027
1199.567,0.419
1215.572,0.312
1217.554,0.057
1221.569,0.431
1226.468,0.375
1230.598,0.083
1235.556,0.138
1237.541,0.105
1243.528,0.034
1244.663,0.054
1248.437,0.023
1252.609,0.169
1257.568,0.056
1275.603,0.212
1283.49,0.071
1284.689,0.228
1286.502,0.051
1299.477,0.214
1301.571,1.0
1306.687,0.296
1308.507,0.037
1311.634,0.042
1313.636,0.087
1319.563,0.047
1323.535,0.121
1341.559,0.038
1345.506,0.032
1352.577,0.191
1358.588,0.027
1363.588,0.027
1366.673,0.127
1372.611,0.023
1374.555,0.025
1380.603,0.052
1386.614,0.112
1400.562,0.027
1402.607,0.054
1408.618,0.157
1422.569,0.043
1427.564,0.042
1439.707,0.079
1443.647,0.023
1453.619,0.023
1488.616,0.019
1514.696,0.018
1536.686,0.026
1552.608,0.059
1580.711,0.022
1612.671,0.022
1634.673,0.034
1641.778,0.256
1656.696,0.022
1663.734,0.02
1679.658,0.027
1694.681,0.025
1708.763,0.025
1716.761,0.948
1723.841,0.021
1738.719,0.113
1779.653,0.098
1801.639,0.059
1805.801,0.039
1827.803,0.029
1857.796,0.021
1874.752,0.016
1878.807,0.017
1882.827,0.056
1932.815,0.019
1954.808,0.026
2015.947,0.089
2080.897,0.015
2146.919,0.015
2154.954,0.015
2184.929,0.055
2202.02,0.032
2261.961,0.012
2279.016,0.041
2295.029,0.076
2316.985,0.012
2334.105,0.014
2349.999,0.18
2356.124,0.016
2371.988,0.496
2387.956,0.022
2393.964,0.024
2407.097,0.217
2423.079,0.0090
2429.054,0.016
2451.135,0.04
2455.029,0.0080
2477.04,0.0090
2513.201,0.014
2535.185,0.087
2948.417,0.0040
2982.353,0.0060
3004.299,0.0030
3349.394,0.0050
