m/z,Rel. Intens.
656.173,0.161
673.331,0.065
681.331,0.035
687.342,0.042
695.269,0.05
704.308,0.048
714.37,0.049
774.315,0.045
781.361,0.161
783.349,0.048
799.417,0.172
802.335,0.039
805.34,0.102
817.379,0.043
821.396,0.033
825.382,0.076
831.355,0.062
853.343,0.061
869.437,0.14
871.42,0.075
873.366,0.268
894.41,0.053
900.379,0.03
930.397,0.049
972.388,0.034
976.424,0.06
983.424,0.449
1005.399,0.038
1008.477,0.115
1012.495,0.676
1031.434,0.334
1033.458,0.136
1034.446,0.119
1047.417,0.031
1053.413,0.035
1074.432,0.053
1080.496,0.061
1090.467,0.036
1104.469,0.087
1112.571,0.039
1114.478,0.044
1144.465,0.031
1149.476,0.029
1152.516,0.075
1156.581,0.124
1157.54,0.245
1167.55,0.103
1174.522,0.15
1178.573,0.281
1199.557,0.317
1215.555,0.332
1221.551,0.426
1226.452,0.421
1230.581,0.061
1235.518,0.114
1236.526,0.057
1239.528,0.031
1244.594,0.102
1252.591,0.129
1257.558,0.062
1275.584,0.2
1283.469,0.085
1284.671,0.154
1286.487,0.051
1299.47,0.185
1301.555,1.0
1306.666,0.332
1309.49,0.029
1311.621,0.033
1313.616,0.104
1319.549,0.033
1323.534,0.088
1341.553,0.038
1345.49,0.028
1352.566,0.226
1363.571,0.026
1366.659,0.118
1373.549,0.034
1380.595,0.039
1386.594,0.082
1402.594,0.056
1408.601,0.121
1422.557,0.034
1427.559,0.024
1439.691,0.069
1453.591,0.029
1552.588,0.043
1634.667,0.037
1641.761,0.189
1679.655,0.024
1694.675,0.03
1708.749,0.024
1716.753,0.931
1723.799,0.024
1738.722,0.089
1779.654,0.076
1801.636,0.051
1805.807,0.026
1827.788,0.023
1882.817,0.048
1954.802,0.023
2015.958,0.085
2184.949,0.041
2202.014,0.02
2261.908,0.016
2279.046,0.028
2295.047,0.052
2350.027,0.102
2356.138,0.016
2372.011,0.299
2387.991,0.016
2407.127,0.136
2451.14,0.03
2535.216,0.058
2982.39,0.0040
3348.615,0.0020
