m/z,Rel. Intens.
656.162,0.133
659.448,0.081
672.414,0.024
673.349,0.064
687.352,0.027
695.298,0.026
704.325,0.034
709.331,0.047
714.397,0.033
774.34,0.049
781.385,0.113
783.35,0.035
799.443,0.177
805.363,0.055
817.402,0.038
825.409,0.07
831.376,0.057
853.385,0.035
869.46,0.12
871.44,0.08
873.385,0.208
894.44,0.05
896.41,0.028
900.384,0.026
930.42,0.033
972.43,0.029
976.45,0.042
983.449,0.433
989.49,0.024
1005.42,0.025
1008.501,0.104
1012.518,0.547
1031.46,0.263
1033.488,0.097
1034.471,0.106
1047.434,0.027
1056.454,0.02
1074.462,0.039
1080.528,0.081
1090.491,0.037
1103.493,0.029
1104.494,0.081
1112.582,0.033
1114.496,0.039
1132.529,0.025
1144.496,0.027
1149.507,0.022
1152.548,0.069
1156.605,0.127
1157.566,0.221
1160.508,0.05
1167.575,0.098
1174.551,0.071
1178.608,0.157
1199.572,0.246
1215.579,0.285
1221.575,0.178
1226.475,0.388
1230.608,0.045
1235.537,0.126
1237.554,0.061
1244.606,0.087
1252.612,0.095
1257.578,0.038
1275.607,0.203
1283.5,0.074
1284.7,0.152
1286.507,0.035
1299.49,0.199
1301.581,1.0
1306.695,0.17
1311.635,0.041
1313.641,0.095
1319.575,0.033
1323.545,0.074
1341.575,0.029
1345.519,0.022
1352.585,0.209
1363.591,0.025
1366.684,0.133
1372.559,0.02
1380.614,0.038
1386.622,0.07
1402.618,0.038
1408.627,0.072
1422.575,0.026
1427.587,0.03
1439.711,0.085
1453.617,0.03
1488.613,0.023
1497.545,0.018
1552.605,0.051
1580.717,0.019
1590.693,0.026
1612.674,0.02
1641.781,0.298
1694.694,0.033
1708.785,0.031
1716.772,0.895
1720.257,0.031
1723.85,0.035
1738.732,0.066
1752.846,0.026
1773.794,0.021
1779.682,0.108
1801.669,0.048
1805.818,0.039
1815.765,0.02
1827.805,0.028
1857.813,0.02
1882.829,0.063
1954.822,0.023
2010.872,0.023
2015.968,0.129
2037.968,0.02
2080.925,0.024
2146.948,0.017
2154.966,0.021
2184.972,0.044
2202.026,0.032
2261.784,0.014
2279.029,0.042
2295.042,0.068
2334.127,0.013
2350.015,0.146
2356.19,0.02
2372.004,0.363
2387.998,0.016
2394.0,0.016
2407.116,0.182
2429.063,0.012
2451.141,0.063
2455.095,0.012
2513.201,0.014
2535.206,0.092
2645.299,0.011
2982.322,0.0080
3175.299,0.0040
3349.348,0.01
