m/z,Rel. Intens.
656.177,0.173
673.343,0.048
704.327,0.037
709.341,0.031
774.34,0.042
781.383,0.11
783.359,0.043
799.435,0.125
805.361,0.058
817.407,0.034
825.407,0.062
831.375,0.047
853.371,0.026
869.456,0.112
871.444,0.067
873.387,0.201
894.438,0.027
930.418,0.037
976.446,0.025
983.447,0.325
989.49,0.029
1008.493,0.084
1012.512,0.536
1031.454,0.235
1033.469,0.091
1034.468,0.086
1047.446,0.026
1074.464,0.038
1080.522,0.099
1090.481,0.033
1104.487,0.075
1114.497,0.038
1152.536,0.058
1156.603,0.104
1157.562,0.157
1160.511,0.048
1167.567,0.091
1174.53,0.041
1178.596,0.084
1196.498,0.026
1199.577,0.235
1215.576,0.366
1217.553,0.087
1221.561,0.12
1226.468,0.381
1230.606,0.042
1235.537,0.105
1237.542,0.045
1244.616,0.093
1252.604,0.068
1257.552,0.03
1275.599,0.196
1283.497,0.089
1284.692,0.104
1286.517,0.052
1299.477,0.221
1301.57,1.0
1306.677,0.067
1308.529,0.022
1311.629,0.043
1313.634,0.093
1319.569,0.035
1323.53,0.066
1352.576,0.201
1363.59,0.025
1366.675,0.149
1380.61,0.033
1386.616,0.082
1402.608,0.03
1408.615,0.073
1422.57,0.022
1427.575,0.038
1439.705,0.09
1453.619,0.025
1488.601,0.021
1497.536,0.024
1504.591,0.02
1552.608,0.063
1580.704,0.027
1590.697,0.026
1641.775,0.279
1657.683,0.019
1679.658,0.019
1694.683,0.03
1708.765,0.027
1716.759,0.95
1723.823,0.023
1738.727,0.05
1752.825,0.021
1773.778,0.019
1779.662,0.099
1801.638,0.033
1805.799,0.038
1815.75,0.021
1827.796,0.021
1857.827,0.019
1874.763,0.02
1882.825,0.05
1885.771,0.017
2011.875,0.02
2015.956,0.123
2080.898,0.023
2146.935,0.016
2154.955,0.02
2184.945,0.035
2202.003,0.029
2261.759,0.014
2279.01,0.028
2295.029,0.046
2335.045,0.013
2350.008,0.171
2371.992,0.285
2407.1,0.129
2451.128,0.053
2513.206,0.013
2535.189,0.058
2982.293,0.0080
3349.325,0.0070
