m/z,Rel. Intens.
605.284,0.064
618.428,0.019
635.396,0.027
640.421,0.021
667.376,0.022
709.389,0.018
711.408,0.015
733.387,0.014
749.379,0.014
774.399,0.015
783.411,0.016
825.466,0.021
871.498,0.035
904.468,0.113
920.453,0.012
976.511,0.038
983.53,0.012
989.542,0.048
1012.562,0.019
1020.491,0.014
1031.53,0.02
1033.534,0.014
1080.589,0.105
1104.558,0.052
1160.579,0.015
1199.616,0.015
1215.641,0.146
1226.543,0.732
1230.631,0.02
1235.595,0.067
1244.89,0.332
1252.599,0.029
1263.652,0.058
1274.71,0.049
1282.522,0.015
1283.565,0.021
1286.577,0.049
1299.564,0.732
1301.666,0.199
1302.639,0.14
1306.65,0.012
1311.693,0.044
1318.628,0.021
1352.66,0.127
1366.766,1.0
1372.856,0.088
1380.686,0.068
1400.656,0.012
1427.647,0.174
1439.783,0.044
1453.71,0.35
1467.781,0.02
1494.845,0.045
1497.794,0.016
1504.671,0.018
1508.751,0.016
1522.697,0.018
1550.726,0.041
1552.691,0.02
1592.354,0.02
1612.773,0.097
1641.852,0.1
1650.856,0.055
1657.742,0.02
1670.772,0.02
1687.631,0.03
1706.956,0.031
1709.124,0.112
1716.854,0.551
1723.948,0.735
1752.938,0.038
1797.895,0.013
1815.855,0.249
1878.011,0.038
1882.933,0.427
1912.981,0.024
1914.977,0.019
1927.944,0.066
1938.857,0.024
2016.069,0.317
2018.037,0.13
2027.993,0.025
2032.023,0.012
2037.083,0.091
2045.058,0.015
2065.045,0.017
2069.139,0.015
2076.007,0.033
2081.042,0.283
2084.06,0.121
2090.064,0.016
2147.064,0.17
2178.0,0.014
2190.144,0.036
2202.118,0.018
2219.09,0.017
2257.362,0.017
2296.202,0.011
2381.243,0.0090
2384.274,0.0090
2436.368,0.014
2451.284,0.508
2485.189,0.015
2513.362,0.021
2564.326,0.01
2607.39,0.024
2612.275,0.0090
2618.36,0.014
2630.568,0.0070
2645.497,0.251
2693.237,0.0060
2888.553,0.0070
2925.744,0.0050
2959.773,0.012
2982.557,0.016
3032.697,0.05
3140.726,0.029
3153.698,0.0080
3211.759,0.0090
3236.963,0.01
3259.932,0.027
3292.84,0.021
