m/z,Rel. Intens.
825.452,0.015
871.488,0.029
904.446,0.105
920.447,0.014
976.488,0.048
989.531,0.053
1012.557,0.018
1020.48,0.021
1031.501,0.019
1033.521,0.016
1080.566,0.108
1104.54,0.069
1111.538,0.029
1152.58,0.018
1199.62,0.025
1215.629,0.189
1226.535,0.791
1230.642,0.032
1235.581,0.033
1244.854,0.337
1252.589,0.057
1263.648,0.073
1274.694,0.05
1282.527,0.024
1283.543,0.028
1286.578,0.079
1299.562,0.928
1301.637,0.259
1302.639,0.169
1311.688,0.048
1318.624,0.033
1352.651,0.141
1366.76,1.0
1372.857,0.086
1380.698,0.113
1386.699,0.02
1400.65,0.022
1427.657,0.239
1439.79,0.043
1453.71,0.354
1467.782,0.022
1494.84,0.049
1504.677,0.021
1522.706,0.029
1550.713,0.035
1552.699,0.023
1612.785,0.151
1641.858,0.097
1650.855,0.05
1657.751,0.029
1706.936,0.023
1709.108,0.1
1716.867,0.55
1723.961,0.706
1752.93,0.036
1815.864,0.244
1878.028,0.029
1882.946,0.371
1913.069,0.024
1927.952,0.053
1938.866,0.04
2016.079,0.274
2018.015,0.118
2028.003,0.032
2037.089,0.069
2076.034,0.035
2081.048,0.215
2084.064,0.089
2147.078,0.164
2190.141,0.033
2219.103,0.023
2258.325,0.023
2451.293,0.459
2485.202,0.015
2513.38,0.022
2607.403,0.025
2618.37,0.015
2645.505,0.208
2926.831,0.011
2959.753,0.012
2982.566,0.025
3032.705,0.051
3140.72,0.035
3153.68,0.01
3211.795,0.011
3235.975,0.01
3238.065,0.012
3259.935,0.023
3292.849,0.032
