m/z,Rel. Intens.
605.247,0.053
606.418,0.014
607.254,0.0090
618.437,0.013
640.401,0.011
667.373,0.011
709.38,0.017
711.402,0.0080
725.367,0.0090
733.379,0.0090
749.373,0.01
758.552,0.011
774.386,0.017
783.407,0.021
812.455,0.012
825.456,0.029
871.494,0.035
899.429,0.0080
904.46,0.133
912.475,0.0070
920.45,0.018
930.466,0.0070
976.504,0.045
983.519,0.017
989.54,0.066
1012.565,0.027
1020.48,0.02
1031.506,0.028
1033.535,0.022
1047.495,0.012
1080.583,0.143
1104.555,0.067
1111.552,0.02
1112.674,0.011
1132.605,0.012
1152.581,0.016
1153.555,0.014
1156.671,0.02
1160.566,0.017
1168.513,0.01
1169.477,0.01
1192.556,0.011
1196.588,0.012
1199.639,0.025
1215.646,0.189
1226.546,0.757
1231.625,0.034
1235.606,0.034
1244.861,0.341
1252.608,0.058
1257.616,0.011
1263.665,0.083
1264.633,0.039
1267.673,0.013
1274.714,0.057
1282.573,0.019
1283.608,0.028
1286.589,0.077
1299.579,0.817
1301.652,0.265
1303.638,0.162
1306.673,0.013
1311.699,0.051
1313.71,0.021
1318.642,0.039
1320.665,0.015
1352.664,0.15
1366.774,1.0
1370.917,0.026
1372.874,0.111
1380.712,0.123
1386.722,0.015
1400.679,0.022
1427.676,0.218
1439.805,0.05
1443.768,0.014
1453.73,0.336
1467.81,0.025
1494.859,0.06
1497.793,0.015
1498.79,0.014
1504.7,0.021
1508.755,0.02
1522.731,0.025
1550.73,0.032
1551.724,0.023
1579.828,0.015
1585.851,0.015
1592.094,0.026
1612.807,0.126
1641.862,0.084
1650.867,0.048
1657.782,0.02
1670.808,0.023
1687.615,0.023
1706.99,0.029
1709.119,0.129
1716.89,0.53
1723.984,0.657
1752.956,0.029
1815.888,0.203
1878.049,0.033
1882.966,0.318
1883.894,0.224
1912.093,0.014
1914.017,0.031
1927.968,0.05
1938.905,0.031
2016.101,0.223
2018.037,0.116
2028.048,0.028
2033.028,0.014
2037.116,0.063
2044.045,0.015
2069.154,0.017
2076.064,0.032
2081.078,0.192
2084.094,0.098
2147.104,0.139
2178.022,0.013
2190.185,0.03
2202.146,0.016
2219.178,0.019
2258.341,0.028
2296.255,0.01
2436.404,0.015
2443.312,0.01
2451.321,0.35
2485.214,0.015
2513.45,0.013
2564.421,0.013
2607.441,0.026
2612.395,0.01
2618.373,0.013
2645.54,0.169
2693.3,0.0060
2888.585,0.0080
2926.882,0.011
2959.765,0.011
2982.667,0.02
3032.759,0.04
3140.789,0.026
3153.822,0.0090
3182.027,0.0040
3212.896,0.0070
3237.124,0.016
3258.321,0.0060
3261.001,0.017
3292.989,0.023
