m/z,Rel. Intens.
600.442,0.014
605.271,0.162
618.427,0.015
635.364,0.015
640.412,0.022
667.386,0.045
683.376,0.021
685.386,0.015
709.392,0.067
711.413,0.015
733.388,0.027
749.378,0.016
758.552,0.027
760.57,0.013
774.395,0.016
812.457,0.013
825.457,0.018
871.498,0.032
899.433,0.013
904.463,0.118
920.448,0.018
976.512,0.031
983.519,0.013
989.545,0.055
991.64,0.014
1012.564,0.023
1015.622,0.03
1020.494,0.019
1031.517,0.02
1033.54,0.014
1080.581,0.103
1104.56,0.049
1111.541,0.021
1132.613,0.011
1152.585,0.014
1160.58,0.023
1173.758,0.014
1199.632,0.013
1215.646,0.17
1226.543,0.729
1230.649,0.022
1235.597,0.046
1244.928,0.383
1252.606,0.03
1263.663,0.059
1274.714,0.069
1282.532,0.021
1283.566,0.026
1286.588,0.049
1299.566,0.923
1301.666,0.192
1302.65,0.13
1311.693,0.043
1313.722,0.014
1318.628,0.024
1352.661,0.101
1366.768,1.0
1372.898,0.098
1380.693,0.067
1386.691,0.02
1400.665,0.013
1427.654,0.2
1439.795,0.038
1453.711,0.309
1467.808,0.015
1494.854,0.039
1497.806,0.016
1504.674,0.03
1508.738,0.017
1522.705,0.016
1550.726,0.038
1551.721,0.021
1553.663,0.024
1592.202,0.024
1612.776,0.104
1641.853,0.121
1650.846,0.044
1657.749,0.026
1670.802,0.022
1687.668,0.026
1708.258,0.068
1711.179,0.02
1716.86,0.444
1723.955,0.666
1752.934,0.037
1815.861,0.189
1878.03,0.027
1882.939,0.442
1886.361,0.033
1913.144,0.025
1914.942,0.019
1927.954,0.068
1938.847,0.033
2016.077,0.215
2017.013,0.157
2028.008,0.03
2037.091,0.084
2076.017,0.027
2081.049,0.225
2084.059,0.106
2147.078,0.182
2190.168,0.029
2202.138,0.014
2219.083,0.015
2258.313,0.026
2296.218,0.013
2436.381,0.018
2451.276,0.475
2485.196,0.014
2513.364,0.018
2564.318,0.013
2607.368,0.02
2612.363,0.01
2618.335,0.015
2645.482,0.209
2887.643,0.0070
2926.703,0.0070
2959.703,0.01
2982.54,0.02
3032.714,0.047
3140.68,0.026
3153.819,0.0070
3211.843,0.0090
3235.797,0.0060
3237.491,0.01
3259.952,0.019
3292.869,0.018
