m/z,Rel. Intens.
656.179,0.101
659.465,0.041
673.362,0.036
696.338,0.014
704.347,0.019
709.376,0.016
774.378,0.223
781.423,0.101
783.395,0.055
799.487,0.311
805.395,0.036
812.455,0.025
813.411,0.011
817.476,0.03
821.461,0.021
824.351,0.024
825.453,0.068
831.406,0.026
836.39,0.017
844.47,0.011
869.51,0.138
871.481,0.073
873.437,0.074
894.495,0.075
898.405,0.022
904.457,0.019
912.486,0.016
920.435,0.017
927.475,0.013
942.44,0.011
972.471,0.019
976.498,0.022
983.506,0.227
989.537,0.079
1008.558,0.172
1012.571,0.342
1031.509,0.153
1034.523,0.041
1052.537,0.012
1069.605,0.012
1074.515,0.017
1075.522,0.019
1080.589,0.408
1102.555,0.016
1104.548,0.026
1112.649,0.025
1114.498,0.019
1144.52,0.012
1149.555,0.019
1152.608,0.057
1156.665,0.116
1157.635,0.199
1160.585,0.106
1167.619,0.015
1174.578,0.014
1178.654,0.069
1192.561,0.038
1194.594,0.022
1196.589,0.067
1199.642,0.257
1215.634,0.035
1218.557,0.036
1221.638,0.105
1226.534,0.273
1230.667,0.035
1235.577,0.163
1252.66,0.037
1258.639,0.02
1260.475,0.033
1274.632,0.011
1283.558,0.118
1284.723,0.085
1286.555,0.04
1301.638,0.459
1306.737,0.06
1308.566,0.027
1323.62,0.023
1326.583,0.011
1340.598,0.013
1352.64,0.016
1358.658,0.015
1363.66,0.041
1366.748,0.143
1380.679,0.021
1386.694,0.036
1400.651,0.013
1402.693,0.012
1408.693,0.024
1411.674,0.03
1422.659,0.01
1440.701,0.054
1444.724,0.017
1453.695,0.04
1467.789,0.018
1488.697,0.163
1494.833,0.022
1510.69,0.014
1590.782,0.017
1612.777,0.017
1634.756,0.012
1650.865,0.018
1660.753,0.012
1697.823,0.011
1708.918,0.011
1716.856,1.0
1723.931,0.055
1738.816,0.06
1742.803,0.016
1752.949,0.046
1773.874,0.016
1815.845,0.025
1858.853,0.022
1882.936,0.083
1906.857,0.017
1928.864,0.018
1932.964,0.0090
1963.929,0.017
1995.029,0.0090
2011.999,0.035
2016.074,0.234
2033.026,0.058
2037.082,0.034
2076.017,0.032
2081.043,0.135
2097.99,0.012
2137.042,0.014
2147.053,0.025
2155.093,0.052
2177.047,0.014
2185.071,0.017
2202.117,0.021
2225.079,0.0090
2248.126,0.016
2279.13,0.04
2296.137,0.066
2318.112,0.014
2350.135,0.104
2372.09,0.167
2385.28,0.0070
2388.069,0.0070
2407.209,0.103
2429.17,0.0060
2451.24,0.038
2502.208,0.0060
2513.337,0.0070
2535.286,0.034
2601.308,0.0090
2618.287,0.0060
2645.392,0.0090
2918.408,0.0050
2940.347,0.0030
2959.592,0.0030
2966.373,0.0050
2988.317,0.0040
