m/z,Rel. Intens.
656.192,0.388
659.466,0.042
672.085,0.025
673.362,0.043
695.327,0.025
704.347,0.013
709.361,0.021
714.41,0.015
774.373,0.241
781.427,0.126
783.386,0.034
796.362,0.017
799.476,0.229
805.435,0.021
812.446,0.036
817.473,0.045
821.463,0.035
824.353,0.03
825.443,0.048
831.406,0.026
836.389,0.014
853.419,0.014
867.049,0.013
869.506,0.114
871.48,0.073
873.434,0.058
894.482,0.061
898.403,0.032
912.488,0.018
920.441,0.021
972.475,0.016
975.486,0.014
976.49,0.018
983.494,0.138
989.535,0.075
1008.545,0.122
1012.557,0.255
1020.473,0.014
1031.5,0.128
1034.53,0.052
1052.511,0.015
1057.515,0.013
1074.502,0.019
1080.577,0.233
1102.555,0.019
1104.547,0.028
1112.627,0.015
1114.525,0.012
1149.557,0.012
1152.585,0.046
1156.654,0.116
1157.626,0.143
1160.564,0.099
1174.6,0.025
1178.662,0.132
1192.528,0.018
1194.59,0.016
1196.564,0.092
1199.624,0.278
1215.614,0.029
1218.582,0.035
1221.643,0.187
1226.522,0.213
1230.656,0.034
1235.565,0.115
1243.609,0.02
1252.664,0.031
1257.65,0.018
1260.493,0.034
1283.55,0.135
1284.753,0.162
1286.554,0.079
1301.629,0.39
1306.767,0.215
1308.574,0.04
1323.622,0.021
1340.572,0.012
1352.639,0.014
1358.648,0.013
1363.641,0.028
1366.735,0.109
1380.67,0.028
1386.672,0.05
1400.628,0.015
1402.694,0.014
1408.68,0.025
1411.638,0.022
1422.641,0.015
1440.67,0.057
1443.723,0.018
1453.678,0.032
1467.76,0.018
1488.665,0.203
1494.822,0.018
1510.669,0.013
1590.757,0.02
1612.733,0.021
1634.747,0.013
1650.83,0.013
1660.724,0.017
1697.803,0.013
1716.838,1.0
1723.922,0.049
1738.814,0.092
1742.774,0.014
1752.923,0.075
1760.796,0.011
1773.853,0.016
1815.827,0.028
1858.825,0.02
1882.892,0.106
1906.822,0.03
1927.885,0.015
1963.895,0.018
2011.955,0.038
2016.043,0.229
2032.996,0.056
2037.042,0.03
2039.034,0.016
2075.972,0.058
2080.996,0.122
2097.957,0.018
2137.002,0.021
2146.998,0.035
2155.045,0.065
2177.011,0.018
2185.061,0.021
2202.078,0.038
2248.072,0.017
2279.093,0.043
2296.086,0.056
2319.091,0.013
2334.168,0.01
2340.063,0.0090
2350.094,0.169
2372.046,0.175
2380.129,0.0090
2385.196,0.0090
2394.032,0.01
2407.164,0.116
2429.115,0.011
2451.178,0.049
2485.082,0.01
2502.17,0.0070
2513.268,0.01
2515.322,0.0080
2535.233,0.037
2579.292,0.0070
2601.255,0.0090
2618.235,0.011
2645.32,0.013
2918.334,0.0090
2959.514,0.0050
2966.318,0.011
3153.303,0.0030
