m/z,Rel. Intens.
656.16,0.319
659.453,0.029
672.041,0.012
673.326,0.035
709.341,0.027
714.377,0.013
733.328,0.02
758.516,0.012
760.506,0.013
774.34,0.181
781.394,0.072
782.542,0.023
783.361,0.036
799.434,0.246
805.358,0.019
812.409,0.019
817.43,0.025
821.425,0.014
824.315,0.021
825.405,0.059
831.367,0.02
836.345,0.022
869.458,0.085
871.442,0.07
873.379,0.044
875.464,0.012
894.446,0.034
898.371,0.021
904.393,0.016
912.432,0.015
920.392,0.018
972.43,0.016
976.441,0.018
983.444,0.13
989.485,0.065
1008.501,0.137
1012.512,0.211
1020.435,0.011
1031.453,0.1
1034.466,0.036
1074.446,0.011
1075.458,0.013
1080.527,0.305
1102.505,0.013
1104.482,0.025
1112.593,0.029
1113.438,0.02
1149.496,0.015
1152.539,0.041
1156.592,0.099
1157.53,0.119
1158.591,0.044
1160.515,0.163
1174.523,0.011
1178.591,0.02
1192.485,0.038
1194.535,0.018
1196.51,0.087
1199.577,0.2
1215.559,0.033
1218.501,0.026
1221.566,0.056
1226.463,0.262
1230.612,0.028
1235.51,0.197
1252.59,0.018
1258.587,0.015
1260.418,0.022
1274.595,0.011
1283.498,0.116
1284.701,0.075
1286.51,0.061
1301.572,0.438
1306.638,0.026
1308.492,0.018
1323.54,0.017
1340.515,0.012
1352.575,0.014
1358.57,0.014
1363.578,0.047
1366.675,0.136
1380.602,0.023
1386.615,0.04
1400.562,0.016
1408.628,0.014
1411.577,0.031
1422.579,0.012
1440.618,0.092
1444.628,0.019
1453.613,0.049
1467.701,0.02
1488.605,0.27
1494.765,0.026
1510.585,0.012
1531.61,0.012
1545.626,0.013
1590.688,0.027
1612.671,0.021
1650.763,0.02
1660.646,0.02
1694.671,0.011
1697.72,0.012
1708.768,0.011
1716.752,1.0
1723.844,0.089
1738.725,0.039
1742.702,0.016
1752.847,0.106
1773.769,0.021
1815.746,0.044
1858.746,0.03
1882.816,0.141
1898.897,0.018
1906.743,0.028
1928.766,0.018
1932.843,0.015
1963.814,0.028
2011.873,0.055
2015.953,0.317
2032.902,0.083
2036.958,0.047
2075.888,0.062
2080.909,0.184
2097.868,0.021
2136.915,0.024
2146.909,0.042
2154.959,0.097
2176.935,0.021
2184.963,0.019
2201.992,0.051
2247.986,0.025
2279.002,0.053
2295.993,0.083
2317.981,0.017
2334.071,0.011
2349.991,0.174
2371.962,0.178
2380.06,0.013
2407.074,0.122
2429.026,0.011
2451.099,0.073
2485.029,0.015
2502.054,0.0080
2513.184,0.015
2535.164,0.042
2601.163,0.012
2618.151,0.01
2645.256,0.016
2888.23,0.0050
2918.3,0.012
2959.478,0.0070
2966.277,0.011
2988.275,0.0060
3153.337,0.0040
