m/z,Rel. Intens.
656.17,0.661
659.46,0.03
672.065,0.039
673.35,0.046
678.093,0.02
696.494,0.016
703.007,0.026
709.353,0.034
725.527,0.017
729.303,0.028
758.536,0.015
760.533,0.019
774.348,0.216
780.528,0.069
781.439,0.074
782.546,0.067
783.359,0.053
799.452,0.232
804.521,0.051
805.365,0.031
806.554,0.029
808.559,0.023
812.422,0.021
813.396,0.018
817.445,0.027
821.438,0.023
824.328,0.03
825.414,0.061
832.542,0.017
836.375,0.017
869.477,0.108
871.455,0.076
873.393,0.068
894.458,0.058
898.378,0.044
912.465,0.015
913.99,0.014
920.395,0.02
972.448,0.02
977.464,0.014
983.461,0.14
989.504,0.081
991.624,0.015
1008.516,0.131
1012.53,0.255
1031.473,0.139
1034.476,0.05
1052.465,0.013
1069.54,0.014
1074.462,0.02
1080.536,0.295
1102.517,0.017
1104.504,0.028
1112.61,0.019
1114.452,0.017
1124.512,0.015
1149.526,0.019
1152.551,0.047
1156.629,0.109
1157.591,0.134
1160.528,0.172
1174.55,0.014
1178.618,0.057
1192.502,0.033
1196.537,0.105
1199.594,0.28
1215.583,0.045
1218.523,0.031
1221.588,0.08
1226.483,0.25
1230.621,0.033
1235.521,0.135
1243.577,0.013
1252.615,0.024
1257.6,0.023
1260.448,0.034
1283.515,0.104
1284.731,0.132
1286.532,0.077
1301.586,0.424
1306.709,0.061
1308.536,0.028
1323.574,0.02
1352.59,0.017
1358.601,0.017
1363.591,0.047
1366.697,0.147
1380.634,0.024
1386.629,0.046
1400.578,0.016
1408.638,0.02
1411.601,0.035
1440.635,0.074
1444.662,0.023
1453.635,0.041
1467.73,0.016
1488.62,0.251
1494.782,0.022
1510.617,0.014
1545.626,0.012
1590.718,0.028
1612.699,0.024
1650.777,0.016
1657.673,0.014
1660.684,0.016
1697.745,0.016
1716.781,1.0
1723.864,0.069
1738.761,0.049
1742.712,0.017
1752.868,0.089
1773.798,0.022
1815.772,0.034
1858.77,0.026
1882.826,0.123
1898.906,0.012
1906.761,0.029
1927.805,0.017
1932.842,0.016
1963.846,0.024
1994.915,0.016
2011.881,0.057
2015.972,0.265
2032.914,0.074
2036.976,0.039
2075.901,0.057
2080.925,0.173
2097.876,0.017
2136.914,0.022
2146.928,0.039
2154.965,0.072
2177.939,0.016
2184.981,0.019
2202.003,0.041
2248.003,0.025
2279.013,0.042
2296.011,0.08
2319.011,0.019
2334.16,0.013
2339.027,0.011
2350.013,0.179
2371.977,0.175
2381.087,0.014
2385.108,0.011
2393.944,0.014
2407.084,0.102
2429.044,0.013
2451.106,0.053
2485.019,0.012
2502.105,0.0090
2513.201,0.017
2535.169,0.039
2548.062,0.0080
2601.186,0.01
2618.174,0.011
2645.271,0.015
2888.266,0.0050
2918.307,0.0090
2959.5,0.0090
2966.288,0.014
2988.259,0.0050
3153.369,0.0040
