m/z,Rel. Intens.
605.244,0.222
635.354,0.037
640.398,0.023
667.357,0.037
683.356,0.025
709.368,0.107
733.362,0.04
758.526,0.045
774.371,0.024
782.505,0.023
783.359,0.019
825.44,0.053
871.464,0.019
976.481,0.029
989.524,0.031
1012.534,0.014
1015.594,0.038
1031.477,0.022
1080.559,0.081
1104.528,0.024
1173.831,0.017
1199.598,0.018
1215.61,0.165
1226.511,0.604
1230.627,0.017
1235.564,0.044
1236.522,0.034
1244.782,0.428
1253.558,0.018
1263.636,0.058
1274.692,0.697
1283.538,0.257
1286.586,0.029
1299.539,0.607
1301.626,0.262
1303.605,0.074
1313.657,0.017
1318.614,0.02
1352.629,0.09
1366.736,0.81
1372.79,0.099
1380.656,0.037
1411.642,0.042
1427.619,0.121
1439.771,0.018
1449.7,0.022
1453.683,0.364
1467.752,0.032
1494.819,0.043
1497.725,0.031
1504.634,0.03
1529.696,0.05
1552.652,0.026
1592.003,0.065
1612.732,0.059
1641.824,0.031
1650.819,0.02
1687.532,0.06
1693.056,0.019
1694.758,0.058
1706.925,0.054
1709.083,0.223
1716.836,0.383
1723.936,1.0
1752.91,0.026
1815.833,0.126
1882.92,0.446
1886.784,0.031
1913.111,0.02
1927.932,0.047
1938.845,0.022
2016.057,0.469
2017.971,0.213
2028.971,0.026
2033.023,0.02
2037.068,0.046
2081.03,0.443
2084.006,0.093
2147.042,0.295
2190.109,0.033
2228.17,0.096
2258.237,0.023
2265.086,0.029
2296.166,0.019
2381.386,0.016
2385.252,0.021
2436.38,0.023
2443.23,0.018
2451.252,0.495
2513.312,0.013
2551.204,0.015
2607.323,0.042
2645.457,0.241
2889.402,0.0090
2982.504,0.013
3032.658,0.068
3140.654,0.016
3153.659,0.013
3211.831,0.011
3236.862,0.029
3259.949,0.047
3292.814,0.035
3293.744,0.027
