m/z,Rel. Intens.
605.276,0.204
607.335,0.029
635.364,0.033
640.415,0.032
667.376,0.072
683.371,0.037
685.385,0.023
691.353,0.027
709.386,0.211
711.409,0.028
733.377,0.072
758.55,0.104
774.386,0.021
782.532,0.048
784.519,0.021
806.539,0.029
825.466,0.051
871.486,0.021
976.495,0.039
983.507,0.016
989.545,0.038
991.6,0.022
1012.56,0.022
1015.604,0.067
1020.478,0.021
1031.509,0.025
1080.569,0.061
1104.545,0.036
1111.559,0.021
1215.631,0.168
1226.533,0.607
1235.582,0.056
1244.867,0.449
1252.587,0.02
1263.669,0.043
1274.718,0.783
1283.565,0.287
1286.59,0.045
1299.559,0.67
1301.644,0.292
1303.625,0.092
1311.677,0.019
1314.662,0.021
1318.62,0.021
1352.647,0.087
1366.756,0.739
1372.837,0.096
1380.695,0.035
1411.66,0.048
1427.649,0.133
1439.775,0.019
1449.766,0.03
1453.703,0.336
1467.77,0.031
1494.833,0.032
1497.786,0.035
1504.67,0.035
1529.712,0.048
1552.679,0.037
1590.764,0.025
1592.021,0.048
1612.774,0.055
1641.841,0.044
1650.845,0.023
1687.589,0.044
1694.756,0.059
1706.954,0.057
1709.103,0.212
1716.858,0.386
1723.953,1.0
1752.919,0.031
1815.85,0.138
1882.94,0.57
1884.86,0.195
1887.752,0.024
1913.155,0.023
1927.941,0.062
1938.871,0.026
2016.074,0.446
2016.975,0.252
2037.07,0.058
2081.041,0.524
2084.048,0.106
2147.062,0.366
2185.066,0.03
2190.137,0.046
2228.179,0.126
2258.277,0.027
2265.133,0.038
2295.168,0.04
2385.288,0.024
2407.227,0.026
2436.373,0.03
2451.274,0.58
2550.365,0.018
2607.334,0.056
2612.323,0.022
2645.355,0.308
2670.407,0.016
2888.548,0.015
2959.763,0.015
2982.563,0.018
3032.676,0.082
3140.693,0.025
3153.7,0.019
3212.688,0.02
3237.043,0.038
3259.941,0.058
3277.653,0.0090
3292.856,0.05
