m/z,Rel. Intens.
656.124,0.864
656.846,0.08
657.584,0.046
672.029,0.041
672.398,0.031
673.316,0.097
678.06,0.025
687.341,0.024
695.28,0.047
702.972,0.035
704.315,0.03
709.331,0.038
714.387,0.022
774.336,0.227
781.386,0.186
783.337,0.049
799.439,0.249
805.369,0.059
812.408,0.038
817.432,0.04
821.421,0.037
824.318,0.04
825.394,0.078
831.363,0.033
836.343,0.024
869.459,0.149
871.442,0.14
873.385,0.121
894.441,0.072
898.37,0.07
904.402,0.031
920.367,0.043
972.424,0.027
976.453,0.034
983.456,0.161
989.491,0.066
1008.501,0.121
1012.518,0.261
1031.457,0.149
1034.467,0.072
1075.472,0.026
1080.531,0.262
1102.517,0.022
1104.495,0.039
1112.607,0.025
1114.491,0.023
1152.549,0.036
1156.603,0.132
1157.559,0.143
1160.522,0.07
1174.546,0.024
1178.613,0.115
1192.511,0.042
1196.526,0.123
1199.589,0.252
1215.58,0.059
1218.526,0.077
1221.588,0.185
1226.485,0.232
1235.537,0.106
1237.543,0.035
1252.622,0.039
1258.604,0.026
1260.459,0.049
1283.493,0.108
1284.701,0.117
1286.511,0.026
1287.563,0.03
1301.589,0.349
1306.701,0.141
1308.518,0.036
1311.642,0.019
1323.577,0.018
1352.583,0.028
1363.587,0.027
1366.7,0.178
1380.626,0.019
1386.636,0.028
1388.668,0.018
1409.643,0.021
1411.589,0.019
1422.608,0.019
1439.693,0.038
1443.686,0.021
1488.628,0.15
1494.785,0.016
1550.659,0.018
1590.729,0.015
1612.713,0.033
1634.703,0.015
1670.707,0.021
1716.788,1.0
1720.258,0.04
1723.865,0.031
1738.767,0.083
1752.864,0.019
1858.786,0.018
1882.831,0.068
1884.809,0.029
1906.765,0.03
1912.868,0.017
1928.781,0.036
1963.842,0.017
2011.9,0.029
2015.976,0.133
2032.915,0.024
2037.983,0.017
2075.91,0.034
2080.93,0.065
2083.943,0.013
2097.891,0.02
2136.944,0.016
2146.946,0.022
2154.987,0.032
2177.949,0.027
2184.97,0.017
2201.986,0.017
2248.009,0.018
2279.036,0.054
2296.034,0.052
2306.047,0.012
2317.992,0.016
2350.02,0.076
2371.999,0.146
2407.125,0.08
2451.132,0.025
2535.211,0.016
2966.269,0.0040
