m/z,Rel. Intens.
656.131,0.754
672.03,0.031
672.408,0.021
673.319,0.078
678.077,0.019
687.33,0.021
695.267,0.039
696.294,0.024
702.972,0.024
704.308,0.03
709.325,0.051
774.328,0.197
781.374,0.145
783.346,0.055
799.43,0.232
805.347,0.064
812.393,0.029
817.42,0.044
821.399,0.03
824.296,0.03
825.391,0.07
831.361,0.027
836.342,0.024
869.454,0.137
871.435,0.131
873.377,0.112
894.433,0.089
898.363,0.056
904.402,0.021
920.365,0.029
972.426,0.022
976.443,0.029
983.448,0.141
989.479,0.061
1008.498,0.123
1012.512,0.249
1031.453,0.118
1034.454,0.058
1052.47,0.02
1080.526,0.244
1102.498,0.026
1104.491,0.043
1112.599,0.03
1152.539,0.031
1156.606,0.112
1157.575,0.147
1161.521,0.035
1174.533,0.03
1178.597,0.129
1192.488,0.035
1194.529,0.035
1196.517,0.114
1199.578,0.232
1215.569,0.048
1218.509,0.089
1221.566,0.197
1226.475,0.21
1230.614,0.03
1235.526,0.103
1252.594,0.042
1257.558,0.025
1260.423,0.048
1283.488,0.096
1284.673,0.119
1286.497,0.041
1301.578,0.322
1303.574,0.049
1306.682,0.152
1308.498,0.038
1311.647,0.021
1323.562,0.021
1352.584,0.03
1363.589,0.032
1366.689,0.171
1386.626,0.028
1402.613,0.018
1408.633,0.028
1411.604,0.025
1422.576,0.024
1440.667,0.051
1443.651,0.028
1453.628,0.018
1488.625,0.145
1494.761,0.018
1550.632,0.017
1590.703,0.019
1612.71,0.03
1670.709,0.019
1716.771,1.0
1720.257,0.055
1723.865,0.036
1738.73,0.087
1752.871,0.028
1858.779,0.023
1882.833,0.073
1884.814,0.028
1906.757,0.027
1912.88,0.02
1928.772,0.035
2011.884,0.033
2015.968,0.131
2032.91,0.028
2036.97,0.022
2075.909,0.04
2080.93,0.066
2097.885,0.024
2146.947,0.023
2154.985,0.037
2177.94,0.034
2184.975,0.021
2202.024,0.017
2248.013,0.023
2279.013,0.063
2294.0,0.017
2296.034,0.058
2317.998,0.018
2319.965,0.017
2350.0,0.083
2371.98,0.168
2407.112,0.09
2451.144,0.03
2535.191,0.02
2645.306,0.0080
