m/z,Rel. Intens.
656.193,0.359
659.509,0.185
672.096,0.019
672.491,0.032
673.403,0.147
687.426,0.04
695.358,0.034
699.422,0.025
700.463,0.022
704.392,0.078
709.398,0.039
714.463,0.042
731.42,0.04
774.415,0.161
781.457,0.316
799.52,0.318
802.427,0.035
805.443,0.102
817.486,0.052
821.501,0.025
824.38,0.022
825.477,0.06
830.473,0.027
831.459,0.101
853.459,0.04
869.546,0.288
871.517,0.089
873.472,0.383
891.514,0.019
894.523,0.062
896.488,0.036
900.472,0.028
912.519,0.026
918.497,0.019
930.496,0.024
972.513,0.031
976.536,0.034
983.543,0.525
989.563,0.026
1005.531,0.033
1008.588,0.132
1012.603,0.711
1031.552,0.314
1033.561,0.098
1034.565,0.12
1047.543,0.038
1053.535,0.02
1074.552,0.043
1080.619,0.25
1090.581,0.025
1102.602,0.032
1104.59,0.071
1112.67,0.023
1152.653,0.117
1156.719,0.238
1157.683,0.311
1160.6,0.039
1167.673,0.077
1174.674,0.107
1178.717,0.211
1196.63,0.037
1199.685,0.409
1215.673,0.195
1216.693,0.115
1221.697,0.255
1226.573,0.526
1230.725,0.083
1235.651,0.125
1237.689,0.051
1244.727,0.106
1248.587,0.031
1252.728,0.116
1257.695,0.036
1275.706,0.197
1283.582,0.068
1284.796,0.19
1287.657,0.028
1299.593,0.262
1301.679,1.0
1306.832,0.176
1311.742,0.033
1313.753,0.065
1319.685,0.028
1323.678,0.092
1341.701,0.023
1352.707,0.143
1366.79,0.084
1380.755,0.054
1386.744,0.086
1400.694,0.022
1402.75,0.03
1408.76,0.07
1422.727,0.031
1427.675,0.038
1439.823,0.067
1453.738,0.02
1552.727,0.033
1590.828,0.019
1612.847,0.03
1634.842,0.037
1641.895,0.141
1657.817,0.02
1708.96,0.017
1716.918,0.837
1723.993,0.021
1738.912,0.053
1779.817,0.089
1801.831,0.03
1805.971,0.026
1815.901,0.015
1874.942,0.016
1882.967,0.026
1884.93,0.021
1932.993,0.022
1938.952,0.017
1954.994,0.024
2016.128,0.155
2033.076,0.018
2038.141,0.021
2081.096,0.054
2155.145,0.013
2185.149,0.043
2202.173,0.038
2279.239,0.027
2295.256,0.049
2333.624,0.0090
2335.25,0.014
2350.217,0.2
2356.324,0.012
2372.208,0.302
2394.226,0.011
2407.322,0.124
2429.267,0.0090
2451.34,0.034
2513.415,0.018
2535.418,0.059
2645.528,0.0050
2948.67,0.0040
2982.596,0.0090
3004.597,0.0030
3349.713,0.0070
