m/z,Rel. Intens.
656.181,0.489
659.492,0.126
673.39,0.11
687.403,0.034
695.338,0.053
704.369,0.082
714.443,0.033
774.396,0.161
781.442,0.212
783.413,0.044
799.497,0.263
805.428,0.065
817.47,0.058
821.477,0.041
825.459,0.081
831.444,0.076
853.431,0.043
869.525,0.232
871.494,0.094
873.454,0.326
894.501,0.058
912.498,0.031
930.482,0.036
976.51,0.052
983.52,0.443
989.558,0.045
1008.568,0.135
1012.588,0.537
1031.534,0.318
1033.549,0.092
1034.547,0.122
1074.531,0.051
1080.607,0.317
1090.567,0.042
1102.582,0.041
1104.575,0.097
1112.658,0.034
1149.57,0.04
1152.63,0.085
1156.7,0.096
1157.653,0.244
1160.6,0.074
1167.659,0.078
1174.649,0.076
1178.687,0.14
1196.612,0.04
1199.664,0.236
1215.669,0.259
1216.635,0.17
1217.659,0.077
1221.669,0.176
1226.565,0.546
1230.685,0.072
1235.637,0.143
1237.639,0.062
1244.715,0.158
1248.566,0.036
1252.701,0.108
1257.672,0.057
1275.703,0.252
1283.611,0.094
1284.74,0.088
1286.818,0.04
1299.595,0.276
1301.683,1.0
1306.795,0.12
1311.728,0.052
1313.753,0.076
1323.662,0.1
1352.706,0.188
1366.798,0.128
1372.724,0.047
1380.741,0.049
1386.748,0.081
1402.744,0.044
1408.762,0.089
1422.7,0.034
1427.704,0.057
1439.839,0.098
1453.751,0.034
1497.694,0.033
1552.74,0.048
1612.85,0.033
1641.914,0.242
1716.94,0.856
1721.531,0.039
1724.012,0.042
1738.93,0.061
1779.854,0.096
1801.83,0.036
1805.998,0.036
1883.015,0.063
1955.006,0.036
2016.179,0.207
2033.098,0.036
2038.169,0.04
2081.135,0.089
2155.166,0.028
2185.256,0.054
2202.21,0.071
2279.234,0.034
2295.293,0.063
2350.252,0.145
2356.244,0.026
2372.237,0.279
2407.354,0.109
2451.374,0.058
2535.472,0.062
2948.592,0.0090
3349.497,0.0050
