m/z,Rel. Intens.
656.173,0.493
659.473,0.112
673.378,0.063
687.385,0.026
695.325,0.024
704.356,0.064
709.374,0.045
714.422,0.037
731.383,0.029
774.378,0.126
781.424,0.186
783.38,0.03
799.484,0.235
805.407,0.063
817.447,0.042
821.468,0.031
824.36,0.027
825.435,0.051
831.412,0.041
836.39,0.02
853.405,0.029
869.509,0.213
871.492,0.09
873.439,0.261
891.478,0.025
894.481,0.035
900.428,0.027
912.484,0.021
918.444,0.021
930.45,0.02
976.501,0.041
983.5,0.446
989.534,0.031
1005.475,0.034
1008.548,0.091
1012.564,0.545
1031.508,0.256
1033.534,0.073
1034.528,0.11
1047.498,0.029
1053.487,0.022
1074.509,0.031
1080.583,0.246
1090.556,0.025
1102.55,0.038
1104.543,0.064
1114.554,0.033
1152.612,0.056
1156.675,0.117
1157.632,0.196
1160.566,0.047
1167.63,0.07
1174.61,0.08
1178.665,0.18
1196.581,0.034
1199.64,0.212
1215.634,0.269
1217.605,0.057
1221.635,0.21
1226.532,0.491
1230.677,0.058
1235.597,0.114
1237.61,0.058
1244.697,0.077
1248.514,0.025
1252.674,0.123
1257.637,0.043
1275.67,0.204
1283.607,0.063
1284.785,0.093
1299.556,0.248
1301.638,1.0
1306.762,0.139
1308.576,0.029
1311.689,0.042
1313.707,0.069
1319.641,0.028
1321.519,0.028
1323.609,0.101
1341.631,0.022
1345.58,0.026
1352.65,0.153
1358.666,0.028
1363.643,0.03
1366.753,0.102
1380.695,0.036
1386.693,0.069
1400.64,0.024
1402.684,0.061
1408.688,0.108
1422.644,0.055
1427.643,0.04
1439.786,0.082
1453.685,0.031
1504.655,0.018
1552.693,0.035
1579.794,0.02
1612.776,0.02
1634.768,0.034
1641.852,0.238
1656.806,0.02
1679.744,0.019
1694.777,0.021
1716.853,0.897
1723.927,0.027
1738.819,0.102
1752.912,0.018
1779.759,0.076
1801.737,0.054
1805.907,0.033
1815.846,0.019
1827.894,0.022
1882.924,0.049
1932.938,0.019
1954.91,0.038
2010.967,0.015
2016.06,0.19
2033.0,0.026
2038.055,0.038
2081.031,0.068
2155.053,0.018
2185.048,0.059
2202.134,0.059
2208.042,0.014
2261.551,0.0090
2279.136,0.037
2295.147,0.074
2350.13,0.153
2356.255,0.015
2372.106,0.471
2394.074,0.021
2407.211,0.153
2429.157,0.011
2451.242,0.044
2477.186,0.0090
2513.333,0.012
2535.305,0.081
2948.569,0.0040
2982.461,0.0060
3004.409,0.0040
3176.465,0.0030
3349.52,0.0040
