m/z,Rel. Intens.
656.226,0.713
659.522,0.137
709.405,0.186
758.557,0.093
760.575,0.073
774.402,0.257
780.566,0.182
781.492,0.155
782.57,0.218
799.502,0.368
804.559,0.119
805.409,0.101
806.547,0.063
808.582,0.093
817.506,0.069
821.493,0.078
825.471,0.158
869.527,0.136
871.516,0.193
873.444,0.094
894.488,0.066
904.487,0.059
976.512,0.052
983.514,0.184
989.567,0.137
1008.568,0.21
1012.587,0.3
1031.528,0.187
1034.534,0.077
1080.599,0.29
1104.57,0.067
1112.661,0.07
1152.611,0.058
1156.681,0.078
1157.639,0.148
1160.608,0.074
1174.621,0.057
1178.679,0.118
1192.595,0.057
1194.621,0.073
1196.605,0.064
1199.649,0.128
1215.655,0.089
1218.631,0.046
1221.644,0.13
1226.561,0.226
1235.606,0.208
1252.7,0.075
1257.648,0.047
1260.512,0.101
1283.635,0.198
1284.777,0.113
1285.772,0.067
1301.677,0.614
1303.686,0.101
1306.764,0.221
1323.672,0.048
1363.685,0.067
1366.784,0.165
1408.73,0.05
1411.716,0.05
1440.769,0.068
1453.736,0.047
1488.736,0.208
1494.885,0.052
1716.912,1.0
1721.443,0.067
1723.97,0.129
1738.876,0.084
1882.991,0.17
1884.904,0.058
1906.027,0.044
1907.861,0.051
1928.921,0.068
2012.072,0.113
2016.14,0.278
2033.125,0.06
2037.183,0.062
2081.12,0.119
2147.136,0.099
2155.152,0.074
2185.145,0.055
2248.2,0.042
2279.238,0.06
2294.286,0.045
2296.238,0.124
2318.279,0.041
2350.215,0.11
2372.223,0.165
2407.326,0.102
2451.356,0.04
2535.475,0.048
2645.576,0.019
2918.638,0.023
2940.669,0.012
2966.58,0.017
