m/z,Rel. Intens.
605.236,0.098
640.396,0.031
667.369,0.025
683.358,0.022
709.375,0.128
725.361,0.018
731.345,0.022
733.374,0.045
745.337,0.018
774.377,0.024
825.434,0.054
871.469,0.02
927.453,0.013
960.502,0.015
976.466,0.042
983.483,0.017
989.523,0.038
1012.532,0.024
1020.467,0.033
1031.483,0.036
1033.514,0.015
1080.543,0.255
1104.523,0.069
1111.529,0.032
1143.51,0.015
1160.55,0.632
1174.432,0.014
1199.597,0.019
1215.612,0.355
1226.509,0.479
1231.59,0.03
1235.575,0.042
1244.781,0.334
1252.565,0.032
1263.613,0.067
1267.617,0.017
1274.681,0.239
1283.527,0.107
1286.561,0.042
1299.535,0.685
1301.61,0.353
1303.596,0.074
1311.654,0.057
1314.65,0.018
1319.597,0.023
1352.608,0.203
1366.709,0.258
1372.74,0.092
1380.656,0.055
1386.674,0.038
1411.635,0.019
1427.609,0.146
1433.648,0.022
1439.742,0.051
1449.697,0.035
1453.671,0.132
1467.778,0.132
1497.708,0.053
1504.647,0.061
1550.668,0.064
1551.673,0.064
1590.743,0.034
1591.888,0.037
1612.745,0.081
1623.742,0.05
1641.821,0.242
1645.759,0.024
1650.809,0.025
1657.707,0.027
1670.765,0.029
1687.536,0.031
1708.121,0.078
1709.009,0.115
1716.819,0.588
1723.909,0.685
1742.761,0.09
1752.923,1.0
1757.518,0.025
1815.813,0.13
1882.901,0.491
1898.954,0.133
1910.875,0.049
1912.929,0.05
1927.913,0.118
1931.976,0.039
1938.833,0.044
1963.899,0.03
2016.044,0.722
2028.968,0.07
2032.948,0.028
2037.037,0.116
2045.009,0.052
2065.141,0.038
2068.05,0.033
2081.009,0.791
2083.995,0.178
2090.016,0.045
2097.027,0.032
2147.029,0.204
2177.948,0.047
2190.1,0.085
2202.073,0.027
2228.126,0.023
2258.253,0.045
2296.15,0.033
2350.109,0.023
2381.36,0.027
2385.242,0.036
2427.514,0.021
2443.194,0.026
2446.28,0.064
2451.217,0.278
2485.121,0.037
2513.302,0.021
2551.201,0.029
2579.339,0.02
2599.315,0.037
2607.097,0.019
2612.223,0.031
2618.293,0.046
2636.205,0.018
2645.409,0.125
2674.323,0.019
2693.159,0.015
2778.39,0.022
2888.503,0.02
2926.688,0.044
2959.698,0.027
2982.496,0.081
3032.604,0.032
3139.587,0.014
3153.646,0.033
3211.705,0.02
3236.957,0.053
3259.921,0.019
3292.817,0.079
