m/z,Rel. Intens.
605.257,0.284
635.339,0.03
640.392,0.043
667.364,0.058
683.356,0.043
709.378,0.226
711.383,0.042
731.353,0.032
733.373,0.07
745.34,0.026
774.375,0.048
825.438,0.078
871.476,0.028
960.527,0.03
976.485,0.066
983.479,0.023
989.526,0.055
1012.546,0.032
1015.6,0.046
1020.476,0.028
1031.497,0.032
1033.512,0.023
1080.564,0.401
1104.535,0.079
1111.534,0.029
1143.545,0.023
1160.563,0.781
1199.621,0.025
1215.622,0.325
1226.518,0.553
1230.627,0.038
1235.593,0.063
1244.79,0.49
1263.644,0.086
1264.576,0.051
1274.696,0.265
1283.564,0.1
1286.587,0.042
1299.551,0.646
1301.629,0.424
1303.603,0.085
1311.674,0.063
1352.638,0.236
1366.729,0.301
1372.771,0.123
1380.671,0.037
1427.635,0.128
1439.78,0.062
1449.73,0.048
1453.714,0.154
1467.812,0.148
1497.749,0.077
1504.668,0.059
1550.692,0.07
1551.714,0.053
1553.639,0.047
1590.767,0.045
1591.889,0.065
1612.778,0.073
1623.781,0.045
1641.852,0.229
1670.959,0.038
1687.584,0.053
1708.219,0.114
1710.09,0.097
1716.849,0.508
1723.945,0.742
1742.823,0.08
1752.966,1.0
1815.855,0.14
1882.984,0.442
1883.831,0.316
1899.016,0.13
1910.91,0.056
1912.973,0.055
1927.968,0.111
1932.086,0.036
1938.866,0.036
2016.078,0.466
2016.989,0.44
2028.034,0.04
2029.016,0.046
2033.001,0.045
2037.115,0.087
2065.694,0.041
2081.1,0.783
2084.09,0.165
2147.136,0.187
2178.002,0.039
2190.17,0.063
2258.313,0.039
2297.173,0.031
2381.929,0.02
2427.648,0.025
2443.219,0.026
2451.281,0.177
2485.245,0.037
2551.254,0.024
2600.164,0.024
2606.576,0.019
2612.303,0.021
2618.454,0.04
2645.576,0.096
2926.704,0.026
2959.795,0.018
2982.653,0.05
3032.885,0.023
3139.828,0.01
3154.212,0.021
3211.924,0.013
3235.718,0.019
3237.35,0.039
3258.964,0.013
3260.556,0.016
3293.012,0.042
