m/z,Rel. Intens.
605.25,0.264
640.408,0.044
667.363,0.058
683.358,0.045
709.37,0.191
711.397,0.031
731.347,0.028
733.359,0.066
745.342,0.024
758.492,0.023
774.374,0.031
825.44,0.075
871.477,0.027
927.456,0.021
960.522,0.022
976.488,0.059
983.489,0.025
989.521,0.052
1012.534,0.03
1015.589,0.055
1020.474,0.027
1031.498,0.043
1080.564,0.396
1104.533,0.066
1132.579,0.02
1160.565,0.727
1215.62,0.335
1226.519,0.557
1230.638,0.033
1235.597,0.069
1244.79,0.497
1263.63,0.099
1274.69,0.298
1283.551,0.096
1286.566,0.047
1299.545,0.645
1301.626,0.41
1303.607,0.091
1311.667,0.062
1352.637,0.228
1366.728,0.34
1372.771,0.119
1380.659,0.034
1386.68,0.023
1427.629,0.125
1439.763,0.057
1449.715,0.046
1453.707,0.154
1467.8,0.147
1497.727,0.075
1504.657,0.046
1550.699,0.059
1551.697,0.047
1553.638,0.045
1590.755,0.045
1591.891,0.059
1612.768,0.069
1623.763,0.064
1641.84,0.233
1650.827,0.029
1670.979,0.036
1687.566,0.051
1708.181,0.128
1710.07,0.109
1716.85,0.569
1723.938,0.784
1742.802,0.074
1752.96,1.0
1815.849,0.141
1882.938,0.391
1883.858,0.268
1898.993,0.115
1910.91,0.045
1912.951,0.055
1927.958,0.104
1932.014,0.033
1938.87,0.033
2016.081,0.632
2028.998,0.051
2033.016,0.04
2037.088,0.099
2041.85,0.04
2044.019,0.031
2064.032,0.035
2066.044,0.036
2069.709,0.026
2081.054,0.732
2084.036,0.18
2090.056,0.04
2097.094,0.033
2147.069,0.162
2149.028,0.067
2177.986,0.039
2190.149,0.066
2258.274,0.031
2296.198,0.027
2381.578,0.024
2385.29,0.024
2427.592,0.02
2446.332,0.05
2451.267,0.197
2485.194,0.031
2585.238,0.02
2599.394,0.03
2613.275,0.024
2618.423,0.03
2645.53,0.088
2778.515,0.014
2926.556,0.019
2959.906,0.013
2982.576,0.042
3032.723,0.018
3138.726,0.0080
3154.156,0.015
3211.866,0.01
3235.793,0.016
3237.438,0.027
3260.47,0.013
3292.953,0.036
