m/z,Rel. Intens.
600.44,0.046
605.262,0.289
622.305,0.036
635.366,0.076
640.415,0.083
667.371,0.047
683.368,0.063
709.39,0.181
731.372,0.029
733.389,0.068
774.39,0.049
825.467,0.112
871.491,0.038
927.489,0.028
960.543,0.039
976.498,0.075
983.511,0.035
989.548,0.067
1012.551,0.039
1020.484,0.03
1031.517,0.059
1033.533,0.034
1080.581,0.472
1104.553,0.096
1111.551,0.028
1132.594,0.027
1149.564,0.028
1160.586,0.786
1199.635,0.033
1215.651,0.401
1226.546,0.649
1230.65,0.056
1235.614,0.098
1244.806,0.533
1252.598,0.04
1263.664,0.116
1274.719,0.279
1283.58,0.113
1286.582,0.052
1299.577,0.691
1301.654,0.521
1303.65,0.138
1311.698,0.078
1318.652,0.034
1352.666,0.28
1366.768,0.415
1372.789,0.134
1380.705,0.052
1386.704,0.037
1427.663,0.148
1439.793,0.073
1449.744,0.046
1453.733,0.179
1467.838,0.163
1497.758,0.069
1504.691,0.057
1550.714,0.072
1551.728,0.064
1590.78,0.049
1591.94,0.073
1612.808,0.085
1623.79,0.104
1641.87,0.245
1650.869,0.036
1671.044,0.04
1687.59,0.062
1706.911,0.092
1709.095,0.242
1716.89,0.685
1723.965,0.852
1742.841,0.087
1752.995,1.0
1815.869,0.156
1882.972,0.365
1883.895,0.303
1899.033,0.131
1910.934,0.062
1913.001,0.076
1927.972,0.114
1932.045,0.045
1938.909,0.05
2016.123,0.584
2018.043,0.244
2029.049,0.055
2033.043,0.046
2037.133,0.096
2041.922,0.05
2064.023,0.038
2066.444,0.03
2081.106,0.676
2084.117,0.173
2090.203,0.035
2147.116,0.152
2149.057,0.076
2178.039,0.042
2190.197,0.069
2258.338,0.044
2296.244,0.035
2381.423,0.038
2385.33,0.058
2427.578,0.024
2443.581,0.023
2446.393,0.051
2451.329,0.213
2485.284,0.034
2513.432,0.026
2551.303,0.028
2585.294,0.024
2600.341,0.027
2607.249,0.017
2612.316,0.025
2618.379,0.033
2636.321,0.019
2645.553,0.088
2674.458,0.019
2778.531,0.023
2926.833,0.032
2959.824,0.017
2982.66,0.066
3032.798,0.032
3137.959,0.014
3140.76,0.018
3153.784,0.014
3154.869,0.021
3211.953,0.017
3237.078,0.046
3260.115,0.015
3292.96,0.049
